Question|WH|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
How do I check if my modem is v.9 compatible ?|check|How do check if|WDT|IN|VB|DESC
What is your favorite color ?|is|What is is your|WDT|PRP$|VBZ|ENTY
What is the longest chemical name , consisting of 35 letters ?|is|What is is the|WDT|DT|VBZ|ENTY
How many corners does a spritsail have ?|have|How many have ?|WDT|.|VB|NUM
What bottled-up TV character was born in Baghdad ?|born|What bottled born in|WDT|IN|VBN|HUM
What is a multiplexer ?|is|What is is a|WDT|DT|VBZ|DESC
What credit card features a centurion on its face ?|features|What credit features a|WDT|DT|VBZ|ENTY
What are the four largest mountain ranges on the Asian continent ?|ranges|What are ranges on|WDT|IN|VBZ|LOC
What are the Poconos ?|are|What are are the|WDT|DT|VBP|DESC
What does caliente mean , in English ?|mean|What does mean ,|WDT|,|VB|DESC
What is Jane Goodall famous for ?|is|What is is Jane|WDT|NNP|VBZ|DESC
What is the mission of Nike ?|is|What is is the|WDT|DT|VBZ|ENTY
What is thalassemia ?|is|What is is thalassemia|WDT|NN|VBZ|DESC
How far can you see ?|see|How far see ?|WDT|.|VB|NUM
What nuclear-powered Russian submarine sank in the Norwegian Sea on April 7 , 1989 ?|sank|What nuclear sank in|WDT|IN|VBD|ENTY
Why can 't you taste anything when you have a cold ?|when|Why can taste anything when you|WRB|PRP|VBP|DESC
Where in the Bible does it tell about Jesus Christ 's brothers and sisters ?|tell|Where in tell about|WDT|IN|VB|LOC
What country boasts the southernmost point in continental Europe ?|boasts|What country boasts the|WDT|DT|VBZ|LOC
When did Nostradamus believe World War III would begin ?|believe|When did believe World|WDT|NNP|VB|NUM
What is so powerful about Power Bars ?|is|What is is so|WDT|RB|VBZ|DESC
What do the Japanese call Japan ?|call|What do call Japan|WDT|NNP|VB|ENTY
What country was Brian Boru an 11th-century king of ?|was|What country was Brian|WDT|NNP|VBD|LOC
What happens when a body part falls asleep ?|when|What happens happens when when a|WRB|DT|VBZ|DESC
What English word has the most letters ?|has|What English has the|WDT|DT|VBZ|ENTY
What film ends with the line : `` This is Mrs. Norman Maine '' ?|ends|What film ends with|WDT|IN|VBZ|ENTY
Who asked the musical question : `` Have you ever been to electric lady land ? ''|asked|Who asked asked the|WDT|DT|VBD|HUM
Who wrote : `` Poems are made by fools like me but only God can make a tree '' ?|wrote|Who wrote wrote :|WDT|:|VBD|HUM
What is June 's birthstone ?|is|What is is June|WDT|NNP|VBZ|DESC
Where did the 6th annual meeting of Indonesia-Malaysia forest experts take place ?|take|Where did take place|WDT|NN|VBP|LOC
Why do we ask for the `` check '' and not the bill at a restaurant ?|ask|Why do ask for|WDT|IN|VB|DESC
Who played the part of the Godfather in the movie , ` The Godfather ' ?|played|Who played played the|WDT|DT|VBD|HUM
When was London 's Docklands Light Railway constructed ?|was|When was was London|WDT|NNP|VBD|NUM
Who invented the Wonderbra ?|invented|Who invented invented the|WDT|DT|VBD|HUM
What is the origin of the proverb `` A stitch in time saves nine '' ?|saves|What is saves nine|WDT|CD|VBZ|DESC
What state capital comes last alphabetically ?|comes|What state comes last|WDT|RB|VBZ|LOC
Why is Thanksgiving on a Thursday ?|Why|Why is|WRB|VBZ|WRB|DESC
How do telephones work ?|work|How do work ?|WDT|.|VB|DESC
What 's the main vegetable in vichyssoise ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
How long did the Charles Manson murder trial last ?|last|How long last ?|WDT|.|JJ|NUM
How long does it take for your blood to make one complete trip through the body ?|take|How long take for|WDT|IN|VB|NUM
Who owns the St. Louis Rams ?|owns|Who owns owns the|WDT|DT|VBZ|HUM
Where is former Pro wrestler Johnny `` Rubber Man '' Walker ?|is|Where is is former|WDT|JJ|VBZ|LOC
What beer tells us , `` Grab all the gusto you can get . '' ?|tells|What beer tells us|WDT|PRP|VBZ|ENTY
What is the geographical center of the US including Alaska and Hawaii ?|is|What is is the|WDT|DT|VBZ|LOC
Which side of the face do most artists tend to show more of in self-portraits ?|do|Which side do most|WDT|JJS|VBP|ENTY
What is diabetes ?|is|What is is diabetes|WDT|NNS|VBZ|DESC
What phenomenon would you expect to read about in the monthly publication The Bigfoot News ?|expect|What phenomenon expect to|WDT|TO|VB|ENTY
When do MORMONS believe Christ was born ?|believe|When do believe Christ|WDT|NNP|VBP|NUM
In what year was actress Joan Collins born ?|was|what year was actress|WDT|NN|VBD|NUM
What is a fear of punishment ?|is|What is is a|WDT|DT|VBZ|ENTY
What is average salary of restaurant manager in United States ?|is|What is is average|WDT|JJ|VBZ|NUM
What comic strip sometimes features a mailman named Beasley ?|features|What comic features a|WDT|DT|VBZ|ENTY
What device provided a new way to listen to music in 1963 ?|provided|What device provided a|WDT|DT|VBD|ENTY
What will a kid eat the middle of , and save the chocolate on the outside for last ?|eat|What will eat the|WDT|DT|VB|ENTY
On average , how long time does it take to type a screenplay ?|take|how long take to|WDT|TO|VB|NUM
What does the abbreviation IOC stand for ?|stand|What does stand for|WDT|IN|VB|ABBR
What 's a short ton ?|'s|What 's 's a|WDT|DT|VBZ|DESC
How long do cardinal eggs incubate ?|incubate|How long incubate ?|WDT|.|VB|NUM
What two body parts grow all your life ?|grow|What two grow all|WDT|PDT|VBP|ENTY
What Texas surgeon performed the first artificial heart transplant ?|performed|What Texas performed the|WDT|DT|VBD|HUM
What country has the port of Haifa ?|has|What country has the|WDT|DT|VBZ|LOC
What is the main ingredient of yogurt ?|is|What is is the|WDT|DT|VBZ|ENTY
What is the recipe for Eggs Benedict ?|is|What is is the|WDT|DT|VBZ|ENTY
What is the address for the main government office in Rome , Italy ?|is|What is is the|WDT|DT|VBZ|LOC
What 's the largest U.S. agricultural crop by weight ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
What is the electronic device used to produce visual displays corresponding to electric signals ?|is|What is is the|WDT|DT|VBZ|ENTY
What is goldenseal ?|is|What is is goldenseal|WDT|JJ|VBZ|DESC
Who made the most appearances in the center square on Hollywood Squares ?|made|Who made made the|WDT|DT|VBD|HUM
What is the Lost Colony ?|is|What is is the|WDT|DT|VBZ|DESC
What is the chemical composition of a Barbie ?|is|What is is the|WDT|DT|VBZ|ENTY
How many of every 10 members of the Rodeo Cowboys Association have never worked a ranch ?|worked|How many worked a|WDT|DT|VBN|NUM
What store claims to be the world 's largest department store ?|claims|What store claims to|WDT|TO|NNS|HUM
What is the lens behind the iris in the eye called ?|is|What is is the|WDT|DT|VBZ|ENTY
What is Tetrinet ?|is|What is is Tetrinet|WDT|NNP|VBZ|DESC
What `` marvelous '' major-league baseball player is now a spokesman for a beer company ?|is|What ` is now|WDT|RB|VBZ|HUM
What is the longest English word that can be formed using just the first row of letters on a typewriter ?|that|What is is the that can|WDT|MD|VBZ|ENTY
What is Chiricahua the name of ?|is|What is is Chiricahua|WDT|NNP|VBZ|ENTY
What 's the green variety of beryl called ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
What was the name of Captain Bligh 's ship ?|was|What was was the|WDT|DT|VBD|ENTY
Which is heavier - cream or milk ?|is|Which is is heavier|WDT|JJR|VBZ|ENTY
Who said `` the only thing we have to fear is fear itself '' ?|said|Who said said `|WDT|``|VBD|HUM
Where is Romania located ?|located|Where is located ?|WDT|.|VBN|LOC
How many films are made by the major studios in a year ?|made|How many made by|WDT|IN|VBN|NUM
How many small businesses are there in the U.S .|are|How many are there|WDT|RB|VBP|NUM
What age is Benny Carter ?|is|What age is Benny|WDT|NNP|VBZ|NUM
How do you clean an LCD monitor screen ?|clean|How do clean an|WDT|DT|VB|DESC
What city did the Mormons establish as their headquarters in 1847 ?|establish|What city establish as|WDT|IN|VB|LOC
What is amezaiku ?|is|What is is amezaiku|WDT|JJ|VBZ|DESC
What two countries are linked by the Brenner Pass ?|linked|What two linked by|WDT|IN|VBN|LOC
What new games are available for Nintendo 64 ?|are|What new are available|WDT|JJ|VBP|ENTY
Mississippi has what name for a state nickname ?|what|has what what name|WP|NN|VBZ|LOC
What is the predominant color of the Tab label ?|is|What is is the|WDT|DT|VBZ|ENTY
What U.S. city was named for St. Francis of Assisi ?|named|What U.S. named for|WDT|IN|VBN|LOC
How many megawatts will the power project in Indonesia , built by a consortium headed by Mission Energy of US , produce ?|produce|How many produce ?|WDT|.|VB|NUM
What is the definition of `` chancery '' file in real estate ?|is|What is is the|WDT|DT|VBZ|DESC
Who is the sexiest women in the world ?|is|Who is is the|WDT|DT|VBZ|HUM
What day is known as the `` national day of prayer '' ?|known|What day known as|WDT|IN|VBN|NUM
Where can I get a photograph of professor Randolph Quirk ?|get|Where can get a|WDT|DT|VB|LOC
Who was the supreme god of Germanic religion ?|was|Who was was the|WDT|DT|VBD|HUM
How do you handle a hungry man ?|handle|How do handle a|WDT|DT|VB|DESC
Who 's played the most games for the New York Yankees ?|played|Who 's played the|WDT|DT|VBN|HUM
What TV character said ; `` One of these days , Alice , pow , right in the kisser '' ?|said|What TV said ;|WDT|:|VBD|HUM
What is the name of the Indian who became prime minister by beating Mrs. Gandhi in the 1977 election ?|who|What is is the who became|WP|VBD|VBZ|HUM
What are the conjugations of wake and woke ?|are|What are are the|WDT|DT|VBP|ENTY
What Chilean president was killed in a 1973 coup d 'etat ?|killed|What Chilean killed in|WDT|IN|VBN|HUM
What was Einstein 's IQ ?|was|What was was Einstein|WDT|NNP|VBD|NUM
Name the first Russian astronaut to do a spacewalk .|Name|Name the|WDT|DT|VB|HUM
Why do eyes sometimes look red in photographs ?|look|Why do look red|WDT|JJ|VB|DESC
What are John C. Calhoun and Henry Clay known as ?|are|What are are John|WDT|NNP|VBP|ENTY
What are the first names of the famous husband-and-wife acting team of Lunt and Fontanne ?|are|What are are the|WDT|DT|VBP|HUM
What are some good exercises for kids to do ?|are|What are are some|WDT|DT|VBP|ENTY
How many real fruit juices are there in a can of Hawaiian Punch ?|are|How many are there|WDT|RB|VBP|NUM
What is the abbreviation of the National Bureau of Investigation ?|is|What is is the|WDT|DT|VBZ|ABBR
What is the principal river of Ireland ?|is|What is is the|WDT|DT|VBZ|LOC
What lake is the source of the White Nile ?|is|What lake is the|WDT|DT|VBZ|LOC
Garry Kasparov plays what game ?|what|plays what what game|WP|NN|VBZ|ENTY
How much does a poodle weigh ?|weigh|How much weigh ?|WDT|.|VB|NUM
What is Zionism ?|is|What is is Zionism|WDT|NNP|VBZ|DESC
What cable network bills itself as `` the family entertainer '' ?|bills|What cable bills itself|WDT|PRP|NNS|HUM
How many points are there on a Backgammon board ?|are|How many are there|WDT|RB|VBP|NUM
What have you not let a tennis ball do if you volley ?|let|What have let a|WDT|DT|VB|DESC
Which comic book was not spawned directly from the pulp magazines ?|spawned|Which comic spawned directly|WDT|RB|VBN|ENTY
What product is for kids , and not for silly rabbits ?|is|What product is for|WDT|IN|VBZ|ENTY
What else has the swastika stood for ?|stood|What else stood for|WDT|IN|VBD|DESC
Why do people get goosebumps when they have something emotional happen to them , like when they hear a beautiful piece of music , or see something beautiful , or get aroused by someone they love ?|when|Why do get goosebumps when they when they|WRB|PRP|VB|DESC
How many frames does a disk camera shoot ?|does|How many does a|WDT|DT|VBZ|NUM
What are the 7 Wonders of the World ?|are|What are are the|WDT|DT|VBP|ENTY
When did Theo Rousseau paint the `` Forest of Fontaine '' ?|paint|When did paint the|WDT|DT|VBP|NUM
How many people have been Captain America ?|been|How many been Captain|WDT|NNP|VBN|NUM
What is meant by the term `` yield to maturity '' in reference to bonds ?|meant|What is meant by|WDT|IN|VBN|DESC
What became the biggest cash crop in the U.S. in 1983 , surpassing corn ?|became|What became became the|WDT|DT|VBD|ENTY
How did the war of 1812 affect Delaware ?|affect|How did affect Delaware|WDT|NNP|VBP|DESC
Where is the human skin least sensitive ?|is|Where is is the|WDT|DT|VBZ|ENTY
What President was meant for , but never placed in , the empty crypt beneath the capital 's rotunda ?|meant|What President meant for|WDT|IN|VBN|HUM
What is the biggest `` thing '' humans have made ?|is|What is is the|WDT|DT|VBZ|ENTY
What are all the rivers in Europe ?|are|What are are all|WDT|PDT|VBP|LOC
Who won the Superbowl in ?|won|Who won won the|WDT|DT|VBD|HUM
What five cards make up a perfect Cribbage hand ?|make|What five make up|WDT|RP|VBP|ENTY
In what year was Gandhi assassinated ?|assassinated|what year assassinated ?|WDT|.|VBD|NUM
What is the time it takes a typist to type a screenplay that is 100 pages long ?|that|What is is the that is|WDT|VBZ|VBZ|NUM
What is the full classification of a lady bug ?|is|What is is the|WDT|DT|VBZ|ENTY
What Hungarian cardinal was first a state prisoner and then a refugee in the U.S. embassy 1956-1971 ?|was|What Hungarian was first|WDT|RB|VBD|HUM
How many pairs of wings does a tsetse fly have ?|does|How many does a|WDT|DT|VBZ|NUM
What was the name of the peace agreement imposed on Germany after World War I ?|was|What was was the|WDT|DT|VBD|ENTY
What 's the fifth-largest country in the world ?|'s|What 's 's the|WDT|DT|VBZ|LOC
How do you box train a cat ?|box|How do box train|WDT|VB|VB|DESC
How was Teddy Roosevelt related to FDR ?|related|How was related to|WDT|IN|VBN|DESC
What newspaper serves Salt Lake City ?|serves|What newspaper serves Salt|WDT|NNP|VBZ|ENTY
The film `` Jaws '' was made in what year ?|what|made in what year|WDT|NN|VBN|NUM
How does lightning travel ?|travel|How does travel ?|WDT|.|VB|DESC
What spice do chefs pay the most for ?|pay|What spice pay the|WDT|DT|VB|ENTY
Who directed Citizen Kane ?|directed|Who directed directed Citizen|WDT|NNP|VBD|HUM
What is troilism ?|is|What is is troilism|WDT|JJ|VBZ|DESC
What was the sister ship of the Olympic ?|was|What was was the|WDT|DT|VBD|ENTY
What is the nickname of the famous flyer who mistakenly flew to Ireland instead of to Los Angeles ?|who|What is is the who mistakenly|WP|RB|VBZ|HUM
What is HTML ?|is|What is is HTML|WDT|NN|VBZ|ABBR
How do you identify prime numbers ?|identify|How do identify prime|WDT|JJ|VB|DESC
Whose special bear 's creator was born on January 18 , 1779 ?|born|Whose special born on|WDT|IN|VBN|HUM
What high school does Archie attend ?|attend|What high attend ?|WDT|.|VB|HUM
What animal migrates the farthest ?|migrates|What animal migrates the|WDT|DT|VBZ|ENTY
What film was based on the play Everybody Comes to Rick 's ?|based|What film based on|WDT|IN|VBN|ENTY
Why do we call someone `` honey '' ?|call|Why do call someone|WDT|NN|VB|DESC
Madonna hocks which soft drink ?|which|Madonna hocks which soft|WDT|JJ|NNP|ENTY
What television network flogged its sports programming on Inga Nielsen 's body in 197 ?|flogged|What television flogged its|WDT|PRP$|VBD|HUM
In what country is Lund ?|what|In what what country|WP|NN|IN|LOC
What 's the sequel to Alice 's Adventures in Wonderland ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
What is the capital of Seattle ?|is|What is is the|WDT|DT|VBZ|LOC
What Italian leader had a lifelong fear of the evil eye ?|had|What Italian had a|WDT|DT|VBD|HUM
What city in Florida is Sea World in ?|is|What city is Sea|WDT|NNP|VBZ|LOC
Who said : `` What contemptible scoundrel stole the cork from my lunch ? ''|What|Who said said : What contemptible|WDT|JJ|VBD|HUM
What 's a water funnel ?|'s|What 's 's a|WDT|DT|VBZ|DESC
What is a fear of worms ?|is|What is is a|WDT|DT|VBZ|ENTY
What is a Chinese `` spouting '' bowl ?|is|What is is a|WDT|DT|VBZ|DESC
What does an emperor do ?|do|What does do ?|WDT|.|VB|DESC
What president kissed the Queen Mother on the lips ?|kissed|What president kissed the|WDT|DT|VBD|HUM
Where does the tennis star Stefan Edberg come from ?|come|Where does come from|WDT|IN|VB|LOC
What continent pushes up the Executive Committee mountain range ?|pushes|What continent pushes up|WDT|RP|VBZ|LOC
How do they raise the cranes when building high-rise buildings ?|when|How do raise the when building|WRB|VBG|VB|DESC
What was Al Capone finally imprisoned for , in 1931 ?|imprisoned|What was imprisoned for|WDT|IN|VBD|DESC
What food can I use to catch a possum ?|use|What food use to|WDT|TO|VB|ENTY
What was Al Capone 's nickname ?|was|What was was Al|WDT|NNP|VBD|HUM
Who was the author of the famous fairy tale `` Snow White and Seven Dwarfs '' ?|was|Who was was the|WDT|DT|VBD|HUM
What is the largest city in Germany ?|is|What is is the|WDT|DT|VBZ|LOC
What is a fear of cholera ?|is|What is is a|WDT|DT|VBZ|ENTY
What park contains Firehole River and Fairy Falls ?|contains|What park contains Firehole|WDT|NNP|VBZ|LOC
What 's the largest island in the West Indies ?|'s|What 's 's the|WDT|DT|VBZ|LOC
What New England state carries the telephone area code 27 ?|carries|What New carries the|WDT|DT|VBZ|LOC
What is an example of a natural acid-base indicator ?|is|What is is an|WDT|DT|VBZ|ENTY
In what county is Eckley Colorado ?|is|what county is Eckley|WDT|NNP|VBZ|LOC
How do I find info about rice importers in the world ?|find|How do find info|WDT|NN|VB|DESC
How much does it cost to have a tree planted by dialing , 900 , 740-TREE ?|cost|How much cost to|WDT|TO|VB|NUM
What is the song Stairway to Heaven by Led Zeppelin about ?|is|What is is the|WDT|DT|VBZ|DESC
How does hair curl ?|curl|How does curl ?|WDT|.|VB|DESC
What are pushed and coupled in hump yards ?|pushed|What are pushed and|WDT|CC|VBN|ENTY
How long do hermit crabs live ?|live|How long live ?|WDT|.|VBP|NUM
What city hosted the first Winter Olympics in Asia ?|hosted|What city hosted the|WDT|DT|VBD|LOC
What is the origin of the first name ` Breony ' ?|is|What is is the|WDT|DT|VBZ|DESC
What month were you born in if your birthstone is sardonyx ?|born|What month born in|WDT|IN|VBN|NUM
Who is behind the name of the Harvey Wallbanger drink ?|is|Who is is behind|WDT|IN|VBZ|HUM
What is the origin of `` Beauty is in the eye of the beholder '' ?|is|What is is the|WDT|DT|VBZ|DESC
What soft drink not only has its own video game , but was featured in its own Marvel comic book ?|has|What soft has its|WDT|PRP$|VBZ|ENTY
What oldtime kids ' fare did TV Guide writer Jeff Greenfield call `` one of the most...subversive TV shows in American history '' ?|call|What oldtime call `|WDT|``|VBP|ENTY
Madonna advertises for what soft drink ?|what|advertises for what soft|WP|JJ|VBZ|ENTY
What does A&W of root beer fame stand for ?|stand|What does stand for|WDT|IN|VB|ABBR
What tennis term is said to come from the French word for egg ?|said|What tennis said to|WDT|TO|VBN|ENTY
What does a collier mine ?|What|What does|WP|VBZ|WP|ENTY
How much money can a person be fined for having a dog on a beach ?|fined|How much fined for|WDT|IN|VBN|NUM
What desert country borders Saudi Arabia , Iraq and the Persian Gulf ?|borders|What desert borders Saudi|WDT|NNP|VBZ|LOC
What are the ages in comic book lingo ?|are|What are are the|WDT|DT|VBP|ENTY
What kinds of animals are in Cambodia ?|are|What kinds are in|WDT|IN|VBP|ENTY
What South African producer had a 1988 profit of $836 million ?|had|What South had a|WDT|DT|VBD|HUM
What American actress was the first to be called a `` vamp '' ?|was|What American was the|WDT|DT|VBD|HUM
What do the 12 days of Christmas mean ?|mean|What do mean ?|WDT|.|VB|DESC
What John Steinbeck novel portrays the Joad family , driven from the Oklahoma dustbowl ?|portrays|What John portrays the|WDT|DT|VBZ|ENTY
What date did man first land on the moon ?|land|What date land on|WDT|IN|NN|NUM
Where are the headquarters of Eli Lilly ?|are|Where are are the|WDT|DT|VBP|LOC
How many web servers are there ?|are|How many are there|WDT|RB|VBP|NUM
What 's the last line of Dickens 's A Christmas Carol ?|'s|What 's 's the|WDT|DT|VBZ|DESC
How many trees go into paper making in a year ?|go|How many go into|WDT|IN|VBP|NUM
Where can I find info on research being done on oilseeds thru genetics ?|find|Where can find info|WDT|NN|VB|LOC
How come light bulbs go out ?|go|How come go out|WDT|RP|VB|DESC
For what reason did the Shea & Gould law firm close their L.A. office ?|close|what reason close their|WDT|PRP$|VB|DESC
How far out is the universe ?|is|How far is the|WDT|DT|VBZ|NUM
What is the difference between a bottle and a jar ?|is|What is is the|WDT|DT|VBZ|DESC
What disease is the second-biggest killer of North Americans ?|is|What disease is the|WDT|DT|VBZ|ENTY
Where did the Mayan Indians live ?|live|Where did live ?|WDT|.|VBP|LOC
Where was Poe born ?|born|Where was born ?|WDT|.|VBN|LOC
What happens to the female body with lack of sleep and food ?|happens|What happens happens to|WDT|IN|VBZ|DESC
What is a fear of crystals or glass ?|is|What is is a|WDT|DT|VBZ|ENTY
Name a product that controls the ripening of apples .|that|Name a that controls|WDT|VBZ|VB|ENTY
How many warmup pitches does a reliever get coming into a baseball game ?|coming|How many coming into|WDT|IN|VBG|NUM
Where did Dylan Thomas die ?|die|Where did die ?|WDT|.|VB|LOC
What common livestock have the greatest variety of breeds ?|have|What common have the|WDT|DT|VBP|ENTY
What film had Bette Davis creating a scandal by wearing a daring red gown to a society ball ?|had|What film had Bette|WDT|NNP|VBD|ENTY
What disease did August von Wassermann develop a specific test for in 196 ?|develop|What disease develop a|WDT|DT|VB|ENTY
What card company sells Christmas ornaments ?|sells|What card sells Christmas|WDT|NNP|VBZ|HUM
How do I find out what cities are in a certain area code ?|what|How do find out what cities|WP|NNS|VB|DESC
What can communications satellites offer yachts ?|offer|What can offer yachts|WDT|NNS|VBP|ENTY
How many Fig Newtons are there to the pound ?|are|How many are there|WDT|RB|VBP|NUM
Who is the premier of China ?|is|Who is is the|WDT|DT|VBZ|HUM
What cigar-chewing comedian observed : `` You 're only as old as the woman you feel '' ?|observed|What cigar observed :|WDT|:|VBD|HUM
How many bones are there in the human hand ?|are|How many are there|WDT|RB|VBP|NUM
What bread company used to feature stickers of the Cisco Kid on the ends of their packages ?|used|What bread used to|WDT|TO|VBD|HUM
Who was the president of Vichy France ?|was|Who was was the|WDT|DT|VBD|HUM
Whose kidnaping was termed The Crime of the Century ?|termed|Whose kidnaping termed The|WDT|DT|VBN|HUM
What is hydrogen ?|is|What is is hydrogen|WDT|NN|VBZ|DESC
What group asked the musical question Do You Believe in Magic ?|asked|What group asked the|WDT|DT|VBD|HUM
What was the tallest building in America in 1922 ?|was|What was was the|WDT|DT|VBD|LOC
What buxom blonde appeared on the cover of more than 5 magazines ?|appeared|What buxom appeared on|WDT|IN|VBD|HUM
What is recruitment interview technique ?|is|What is is recruitment|WDT|NN|VBZ|DESC
How does a hurricane form ?|form|How does form ?|WDT|.|NN|DESC
What does the donation process entail ?|entail|What does entail ?|WDT|.|VB|DESC
How far is it from Phoenix to Blythe ?|is|How far is it|WDT|PRP|VBZ|NUM
What New Hampshire hamlet rises early to vote first in U.S. presidential elections ?|rises|What New rises early|WDT|RB|VBZ|LOC
How many people watch network television ?|watch|How many watch network|WDT|NN|VBP|NUM
What garment was named for Bradley , Voorhees and Day ?|named|What garment named for|WDT|IN|VBN|ENTY
Who first broke the sound barrier ?|broke|Who first broke the|WDT|DT|VBD|HUM
How do birds have sex ?|have|How do have sex|WDT|NN|VB|DESC
How many horses are there on a polo team ?|are|How many are there|WDT|RB|VBP|NUM
What 's destroyed in Genesis 19 : 24 ?|destroyed|What 's destroyed in|WDT|IN|VBN|ENTY
What new year is celebrated on February 16th ?|celebrated|What new celebrated on|WDT|IN|VBN|ENTY
What is Occam 's Razor ?|is|What is is Occam|WDT|NNP|VBZ|DESC
Where do the Grimace and Mayor McCheese live ?|do|Where do do the|WDT|DT|VBP|LOC
How long does it take to hike the entire Appalachian Trail ?|take|How long take to|WDT|TO|VB|NUM
What role do fruits play in the survival of plants ?|play|What role play in|WDT|IN|VB|HUM
Where is the world championship sled dog race held each February ?|held|Where is held each|WDT|DT|VBD|LOC
What are the medical purposes of `` clitoridectomy '' ?|are|What are are the|WDT|DT|VBP|DESC
How is thalassemia defined ?|defined|How is defined ?|WDT|.|VBN|DESC
What 's the name of the Tampa newspaper ?|'s|What 's 's the|WDT|DT|VBZ|ENTY
What is a storm surge ?|is|What is is a|WDT|DT|VBZ|DESC
How do you use `` farther '' as opposed to `` further '' ?|use|How do use `|WDT|``|VB|DESC
What was the alternate to VHS ?|was|What was was the|WDT|DT|VBD|ENTY
What is one of the languages of the Sioux ?|is|What is is one|WDT|CD|VBZ|ENTY
What Pulitzer Prize-winning novelist ran for mayor of New York City ?|ran|What Pulitzer ran for|WDT|IN|VBD|HUM
How many times can a nickel-cadmium rechargeable battery be recharged ?|recharged|How many recharged ?|WDT|.|VBN|NUM
How is cologne made ?|made|How is made ?|WDT|.|VBN|DESC
What was the food of the Greek gods called ?|was|What was was the|WDT|DT|VBD|ENTY
What does camera-ready art mean ?|mean|What does mean ?|WDT|.|VB|DESC
How many seats does the Batmobile sport ?|does|How many does the|WDT|DT|VBZ|NUM
How many cards are dealt to each player in Gin Rummy ?|dealt|How many dealt to|WDT|IN|VBN|NUM
What happened to Phillip Taylor Kramer ?|happened|What happened happened to|WDT|IN|VBD|DESC
What Erica Jong novel deals with Isadora Wing 's fear ?|deals|What Erica deals with|WDT|IN|VBZ|ENTY
What time of year do most people fly ?|fly|What time fly ?|WDT|.|VB|NUM
Who was Scrooge 's dead partner in Dickens 's A Christmas Carol ?|was|Who was was Scrooge|WDT|NNP|VBD|HUM
What is the origin of the Christmas tree ?|is|What is is the|WDT|DT|VBZ|DESC
When is the Thai New Year ?|is|When is is the|WDT|DT|VBZ|NUM
What four tournaments make up tennis ' Grand Slam ?|make|What four make up|WDT|RP|VBP|ENTY
What 1964 film introduced the song My Kind of Town ?|introduced|What 1964 introduced the|WDT|DT|VBD|ENTY
Who recorded the 1957 hit Tammy ?|recorded|Who recorded recorded the|WDT|DT|VBD|HUM
What is the term for the side of the mountain that faces the prevailing winds ?|that|What is is the that faces|WDT|VBZ|VBZ|ENTY
In Kafka 's Metamorphosis , the hero awakes one morning to find himself turned into what ?|what|awakes one what ?|WP|.|VBZ|ENTY
What does caliente translate to in English ?|translate|What does translate to|WDT|IN|VB|ENTY
Who is Mia Farrow 's mother ?|is|Who is is Mia|WDT|NNP|VBZ|HUM
How do you determine if a computer monitor has an SVGA adapter ?|determine|How do determine if|WDT|IN|VB|DESC
How far can a human eye see ?|see|How far see ?|WDT|.|VB|NUM
What time of year has the most air travel ?|has|What time has the|WDT|DT|VBZ|NUM
What does the term `` spaghetti western '' mean ?|mean|What does mean ?|WDT|.|VBP|DESC
When was the G7 group of nations formed ?|formed|When was formed ?|WDT|.|VBN|NUM
What are differences between 1980 and 1990 ?|are|What are are differences|WDT|NNS|VBP|DESC
What baseball player was walked the most times ?|walked|What baseball walked the|WDT|DT|VBN|HUM
What famous male vocalist has the same name as the composer of the opera Hansel and Gretel ?|has|What famous has the|WDT|DT|VBZ|HUM
What were the first frozen foods ?|were|What were were the|WDT|DT|VBD|ENTY
Why is Indiglo called Indiglo ?|is|Why is is Indiglo|WDT|NN|VBZ|DESC
What is the word for love of pain or abuse ?|is|What is is the|WDT|DT|VBZ|ENTY
When did they canonize the Bible ?|canonize|When did canonize the|WDT|DT|VB|NUM
Who was the only president to serve two nonconsecutive terms ?|was|Who was was the|WDT|DT|VBD|HUM
What percentage of all world tornados touch down in the US ?|touch|What percentage touch down|WDT|RP|VBP|NUM
What labor leader was last seen in the parking lot of a Michigan restaurant ?|seen|What labor seen in|WDT|IN|VBN|HUM
When did the Carolingian period begin ?|begin|When did begin ?|WDT|.|VBP|NUM
What motto ended Merrie Melodies cartoons ?|ended|What motto ended Merrie|WDT|NNP|VBD|DESC
Who reports the weather on the `` Good Morning America '' television show ?|reports|Who reports reports the|WDT|DT|VBZ|HUM
How many emperors were there in the Roman Empire ?|were|How many were there|WDT|RB|VBD|NUM
What was the name of `` The Muppets '' creator ?|was|What was was the|WDT|DT|VBD|HUM
What is Cabarnet Sauvignon ?|is|What is is Cabarnet|WDT|NNP|VBZ|DESC
What is a virtual IP address ?|is|What is is a|WDT|DT|VBZ|DESC
What 's the name of the tiger that advertises for Frosted Flakes cereal ?|that|What 's 's the that advertises|WDT|VBZ|VBZ|ENTY
Who sent the brief message `` I came , I saw , I conquered '' ?|conquered|Who sent conquered ''|WDT|''|VBD|HUM
What color is Mr. Spock 's blood ?|is|What color is Mr.|WDT|NNP|VBZ|ENTY
