,question,entities,resources,MuHeQA_Cand,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Spotlight
2277,What is an album by cheryl cole?,['Cheryl Fernandez-Versini'],['Cheryl_Fernandez-Versini'],"['Cheryl_(singer)', 'Only_Human_(Cheryl_album)', 'List_of_songs_recorded_by_Cheryl', 'Only_Human_(Cheryl_song)', 'Cheryl_discography', ""I_Don't_Care_(Cheryl_song)"", 'Cheryl_videography', 'List_of_The_X_Factor_finalists_(British_series_11)', 'List_of_The_X_Factor_finalists_(British_series_12)', 'The_X_Factor_(British_series_11)']",['Cheryl_(singer)'],['Cheryl_(singer)'],"['Cheryl_(singer)', 'Cheryl_discography']","['Cheryl_(singer)', 'Cheryl_discography']",['Cheryl_(singer)']
2278,What major conflict occured in hebron?,['Hebron'],['Hebron'],"['Hebron', 'Hebron,_Connecticut', 'Hebron,_Kentucky', 'Hebron,_Indiana', 'Hebron,_Maryland', 'Hebron,_Nebraska', 'Hebron_Governorate', 'Hebron,_Wisconsin', 'Hebron_Subdistrict,_Mandatory_Palestine', 'Hebron,_New_Hampshire']",['Hebron'],['Hebron'],['Hebron'],['Hebron'],['Hebron']
2279,what is paul d. maclean's nationality,['Paul D. MacLean'],['Paul_D._MacLean'],"['Paul_MacLean', 'Paul_D._MacLean', 'Harry_and_the_Potters', 'SS_Edmund_Fitzgerald', 'List_of_minor_planets:_14001–15000', 'Green_Party_of_Canada_candidates_in_the_2008_Canadian_federal_election', 'Triune_brain', 'Papez_circuit', '2005_Football_League_One_play-off_Final', 'Donald_Wood']",['Paul_D._MacLean'],['Paul_D._MacLean'],['Paul_D._MacLean'],['Paul_D._MacLean'],['Paul_the_Apostle']
2280,which united states representative was born in albuquerque?,"['Albuquerque, New Mexico']","['Albuquerque,_New_Mexico']","['Albuquerque,_New_Mexico', 'University_of_New_Mexico', 'Canton_Charge', 'New_Mexico_Chiles', 'Albuquerque_metropolitan_area', 'Federal_Building_and_United_States_Courthouse_(Albuquerque,_New_Mexico)', 'U.S._Route_66_in_New_Mexico', 'Kirtland_Air_Force_Base', 'Timeline_of_Albuquerque,_New_Mexico', 'Albuquerque_Police_Department']","['Albuquerque,_New_Mexico']","['Albuquerque,_New_Mexico']","['Albuquerque,_New_Mexico']","['Albuquerque,_New_Mexico']",['Albuquerque_Isotopes']
2281,where was theodore conover born,['Theodore Conover'],['Theodore_Conover'],"['Theodore_Conover', 'Theodore,_Philippa_and_companions', 'T._G._Jayewardene', 'John_Adrian_St._Valentine_Jayewardene', 'Saint_Terence', 'Theodore_Brandley', 'Theodore_Curphey', 'Henry_L._Hertz', 'Jacobi–Anger_expansion', 'Theodor_Axenfeld']",['Theodore_Conover'],['Theodore_Conover'],['Theodore_Conover'],['Theodore_Conover'],['Theodore_Conover']
2282,who is sandeep dikshit's mother,['Sandeep Dikshit'],['Sandeep_Dikshit'],['Sandeep_Dikshit'],['Sandeep_Dikshit'],['Sandeep_Dikshit'],['Sandeep_Dikshit'],['Sandeep_Dikshit'],['Sandeep_Dikshit']
2283,what is the ethnicity of konnie huq?,['Konnie Huq'],['Konnie_Huq'],"['Konnie_Huq', 'The_X_Factor_(British_series_8)', 'The_X_Factor_(British_series_7)', 'The_London_Freewheel', 'King_of_the_Nerds_(British_TV_series)', 'Fifteen_Million_Merits', 'Diane-Louise_Jordan', 'UK_Top_40_(TV_series)', ""Birni-N'Konni"", 'Konaje']",['Konnie_Huq'],['Konnie_Huq'],['Konnie_Huq'],['Konnie_Huq'],"['Ethnic_group', 'Konnie_Huq']"
2284,What gender is charles clinton spaulding,['Charles Clinton Spaulding'],['Charles_Clinton_Spaulding'],['Charles_Clinton_Spaulding'],['Charles_Clinton_Spaulding'],['Charles_Clinton_Spaulding'],['Charles_Clinton_Spaulding'],['Charles_Clinton_Spaulding'],"['Gender', 'Charles_Clinton_Spaulding']"
2285,Who's the executive producer for shut up and play the hits,['Shut Up and Play the Hits'],['Shut_Up_and_Play_the_Hits'],"['List_of_Roseanne_episodes', 'Shut_Up_and_Play_the_Hits', 'Walk_on_Water_(Aerosmith_song)', 'Played_in_Space:_The_Best_of_Something_Corporate', 'Perfect_game_(baseball)', 'Wally_Burnette', 'Alex_Jones_(baseball)', 'John_Keefe', 'Niles_Jordan', 'Jim_Roland']",['Shut_Up_and_Play_the_Hits'],['Shut_Up_and_Play_the_Hits'],['Shut_Up_and_Play_the_Hits'],['Shut_Up_and_Play_the_Hits'],"['Executive_producer', 'Hit_song']"
2286,what position does mykhaylo starostyak play?,['Mykhaylo Starostyak'],['Mykhaylo_Starostyak'],['Mykhaylo_Starostyak'],['Mykhaylo_Starostyak'],['Mykhaylo_Starostyak'],['Mykhaylo_Starostyak'],['Mykhaylo_Starostyak'],['Mykhaylo_Starostyak']
2287,which artist is considered a ranchera artist,['Ranchera'],['Ranchera'],"['Ranchera', 'Ranchera,_Yauco,_Puerto_Rico', 'Nobleza_ranchera', 'Salsa_(sauce)', 'KHJ_(AM)', 'Ford_Ranchero', 'Ranchers_Bees_F.C.', 'Monster_Rancher', 'Cesar-Ranchería_Basin', 'Alma_Ranchera']",['Ranchera'],['Ranchera'],['Ranchera'],"['Alma_Ranchera', 'Ranchera']",['Ranchera']
2288,What is vladimir rogachyov's gender?,['Vladimir Rogachyov'],['Vladimir_Rogachyov'],[],[],[],[],[],"['Rahachow', 'Gender']"
2289,Which English band is on the record label decca records?,['Decca Records'],['Decca_Records'],"['Decca_Records', 'PolyGram', 'List_of_Decca_Records_artists', 'Decca_Gold', 'Songs_Bing_Crosby_recorded_multiple_times', 'Smashproof', 'London_Records', 'Universal_Music_Group_Nashville', 'Deram_Records', 'Kapp_Records']",['Decca_Records'],['Decca_Records'],['Decca_Records'],['Decca_Records'],"['English_language', 'Record_label', 'Decca_Records']"
2290,what is Álvaro solís's position in soccer?,['Alvaro Solis'],['Álvaro_Solís'],"['Álvaro_Solís', 'Cypripedium_arietinum', 'Alfaroa', 'Alfaroa_guanacastensis']",['Álvaro_Solís'],['Álvaro_Solís'],['Álvaro_Solís'],['Álvaro_Solís'],['Association_football']
2291,who was involved in world war ii?,['World War II'],['World_War_II'],"['World_War_II', 'Eastern_Front_(World_War_II)', 'Nazi_Germany', 'Ukraine', 'Western_Front_(World_War_II)', 'World_War_II_in_Yugoslavia', 'Pacific_War', 'European_theatre_of_World_War_II', 'Allies_of_World_War_II', 'Moldova']",['World_War_II'],['World_War_II'],['World_War_II'],['Allies_of_World_War_II'],[]
2292,Who was born in australia,['Australia'],['Australia'],"['Australia', 'Victoria_(Australia)', 'Western_Australia', 'South_Australia', 'Australian_rules_football', 'Melbourne', 'Sydney', 'Queensland', 'Australian_Labor_Party', 'New_South_Wales']",['Australia'],['Australia'],['Australia'],"['Australia', 'Western_Australia']",[]
2293,which american gothic group is signed to metropolis records,['Metropolis Records'],['Metropolis_Records'],"['Metropolis_Records', 'Metropolis_Records_(Serbia)', 'Dongdu_Shilüe', 'Bend,_Oregon', 'Janelle_Monáe', 'Metropolis_Pt._2:_Scenes_from_a_Memory', 'The_Electric_Lady', 'Dirty_Computer', 'Leæther_Strip', 'Metropolis:_The_Chase_Suite']",['Metropolis_Records'],['Metropolis_Records'],['Metropolis_Records'],['Metropolis_Records'],"['American_Gothic', 'Metropolis_Records']"
2294,What is the gender of alan m. wilner,['Alan M. Wilner'],['Alan_M._Wilner'],"['List_of_minor_planet_discoverers', 'Alan_M._Wilner', 'List_of_minor_planets:_15001–16000', 'Chris_Young_(musician)', 'List_of_The_Voice_of_Ireland_finalists_(series_1)', 'Alan_Alda', 'Recoil_(band)', 'New_Zealand_NBL_Scoring_Champion', 'Alan_Morgan', 'A_Broken_Frame']",['Alan_M._Wilner'],['Alan_M._Wilner'],['Alan_M._Wilner'],['Alan_M._Wilner'],"['Gender', 'Alan_Dawa_Dolma']"
2295,what is youssef haraoui's gender?,['Youssef Haraoui'],['Youssef_Haraoui'],"['Youssef_Haraoui', 'Youssef_El_Haddaqui']",['Youssef_Haraoui'],['Youssef_Haraoui'],['Youssef_Haraoui'],['Youssef_Haraoui'],"['Youssef_Haraoui', 'Gender']"
2296,what country gives nationality to toeti heraty,['Toeti Heraty'],['Toeti_Heraty'],"['Toeti_Heraty', 'Sailor_Moon_S:_The_Movie', 'List_of_DokiDoki!_PreCure_episodes', 'List_of_HeartCatch_PreCure_episodes']",['Toeti_Heraty'],['Toeti_Heraty'],['Toeti_Heraty'],['Toeti_Heraty'],['Toeti_Heraty']
2297,Which position did former football player hans klinkhammer play?,['Hans Klinkhammer'],['Hans_Klinkhammer'],"['Hans_Klinkhammer', 'Portland_Winterhawks']",['Hans_Klinkhammer'],['Hans_Klinkhammer'],['Hans_Klinkhammer'],['Hans_Klinkhammer'],['Association_football']
2298,Who did the cinematography of horsing around,['Horsing Around'],['Horsing_Around'],"['Horsing_Around_with_History', 'Coleraine', 'Horsing_Around', ""Horsin'_Around"", 'Delirium_(Ellie_Goulding_album)', 'Antwerp', 'Académico_de_Viseu_F.C.', 'Gorizia_Statistical_Region', 'Feudalism', 'BT_Group']",['Horsing_Around'],['Horsing_Around'],['Horsing_Around'],['Horsing_Around'],['Cinematography']
2299,Name a film john carpenter has directed.,['John Carpenter'],['John_Carpenter'],"['John_Carpenter', 'John_Boyd-Carpenter,_Baron_Boyd-Carpenter', 'John_W._Carpenter_Freeway', 'John_Carpenter_(archbishop_of_Dublin)', 'John_Carpenter_(town_clerk)', 'Alan_Carpenter', 'John_M._Carpenter', 'John_Barker_Carpenter', 'John_Kendall-Carpenter', 'John_Carpenter_(footballer)']",['John_Carpenter'],['John_Carpenter'],['John_Carpenter'],['John_Carpenter'],['John_Carpenter']
2300,what instrument does dean tidey play,['Dean Tidey'],['Dean_Tidey'],"['Dean_Tidey', 'Dead_Low_Tide', 'David_J', 'Post_Mortem_(album)', 'The_Blue_Hour_(album)', 'Silence_in_the_Snow', 'A_Shipwreck_in_the_Sand', 'Inoran', 'Pushing_the_Senses_(song)', 'Luther_Burden']",[],[],['Dead_Low_Tide'],['Dead_Low_Tide'],['Dean_Tidey']
2301,"who is prince richard, duke of gloucester's father","['Prince Richard, Duke of Gloucester']","['Prince_Richard,_Duke_of_Gloucester']","['Prince_Richard,_Duke_of_Gloucester', 'Princess_Alice,_Duchess_of_Gloucester', 'Birgitte,_Duchess_of_Gloucester', 'Alexander_Windsor,_Earl_of_Ulster', 'William_Montagu_Douglas_Scott,_6th_Duke_of_Buccleuch', 'Louisa_Montagu_Douglas_Scott,_Duchess_of_Buccleuch', 'Louisa_Hamilton,_Duchess_of_Abercorn', 'Lady_Davina_Windsor', 'Andrew_Montagu_Douglas_Scott', 'Simon_Bland']","['Prince_Richard,_Duke_of_Gloucester']","['Prince_Richard,_Duke_of_Gloucester']","['Prince_Richard,_Duke_of_Gloucester']","['Prince_Richard,_Duke_of_Gloucester']",['Gloucester']
2302,which comic book writer was born in pennsylvania,['Pennsylvania'],['Pennsylvania'],"['Pennsylvania', 'Township_(Pennsylvania)', 'University_of_Pennsylvania', 'Philadelphia', 'Borough_(Pennsylvania)', 'Pennsylvania_State_University', 'Lancaster,_Pennsylvania', 'Allegheny_County,_Pennsylvania', 'Scranton,_Pennsylvania', 'Harrisburg,_Pennsylvania']",['Pennsylvania'],['Pennsylvania'],['Pennsylvania'],['Pennsylvania'],"['Comic_book', 'Pennsylvania']"
2303,what's a film that brad grey produced,['Brad Grey'],['Brad_Grey'],"['Brad_Grey', 'Grey_emutail', 'Love_and_War_(Brad_Paisley_album)', 'African_grey_flycatcher', 'Grade_(band)', 'Brad_Delson', 'Matapa_druna', 'List_of_The_Passage_characters', 'Brady_Grey', 'Pagurus_pollicaris']",['Brad_Grey'],['Brad_Grey'],['Brad_Grey'],['Brad_Grey'],['Brad_Grey']
2304,where did leonardo conti die,['Leonardo Conti'],['Leonardo_Conti'],"['Leonardo_Conti', 'Leonardo_Corti', 'Leonardo_Conti_(ice_hockey)', 'Giacomo_Leopardi', 'AutoAnalyzer', 'Valvoline', 'SIAI-Marchetti_SF.260', 'Alenia_Aermacchi_M-346_Master', 'Ferrari_Berlinetta_Boxer', 'Gerhard_Wagner_(physician)']",['Leonardo_Conti'],['Leonardo_Conti'],['Leonardo_Conti'],['Leonardo_Conti'],['Leonardo_Conti']
2305,which football players are from paris,['Paris'],['Paris'],"['Paris', 'Central_European_Time', 'Paris_Saint-Germain_F.C.', 'Paris_FC', 'University_of_Paris', 'Paris_Métro', 'Grand_Paris', 'Paris,_Texas', 'Paris_Diderot_University', 'Paris-Sorbonne_University']",['Paris'],['Paris'],['Paris'],['Paris'],"['Association_football', 'Paris']"
2306,what is on of sonny stitt's album?,['Sonny Stitt'],['Sonny_Stitt'],"['Sonny_Stitt', ""Sonny_Stitt_/_Live_at_Ronnie_Scott's"", 'Sonny_Stitt_Sits_in_with_the_Oscar_Peterson_Trio', 'Sonny_Stitt/Bud_Powell/J._J._Johnson', 'Sonny_Stitt_(album)', 'Previously_Unreleased_Recordings', 'Canvas_Stadium', 'The_Champ_(Sonny_Stitt_album)', 'The_Last_Sessions_(Sonny_Stitt_album)', 'Sonny_Stitt_Plays']",['Sonny_Stitt'],['Sonny_Stitt'],['Sonny_Stitt'],"['Sonny_Stitt', 'Sonny_Stitt_(album)']",['Sonny_Stitt']
2307,What is the profession of david david?,['David David (fur trader)'],['David_David_(fur_trader)'],"['David_David_(fur_trader)', 'David_Stuart_(fur_trader)', 'Jacques_Raphael_Finlay', 'David_Pieterse_Schuyler', 'David_Davidse_Schuyler', 'Benjamin_Davis_Wilson', 'Alberta_Highway_11', 'Saskatchewan_River_Crossing,_Alberta', 'Buffalo_pound', 'David_Ramsay_(Upper_Canada)']",['David_David_(fur_trader)'],['David_David_(fur_trader)'],['David_David_(fur_trader)'],['David_David_(fur_trader)'],"['David', 'David']"
2308,what gameplay modes are available on assassin's creed: bloodlines,"[""Assassin's Creed: Bloodlines""]","[""Assassin's_Creed:_Bloodlines""]","[""Assassin's_Creed:_Bloodlines"", 'Altaïr_Ibn-LaʼAhad', 'Darby_McDevitt', ""Assassin's_Creed_II:_Discovery""]","[""Assassin's_Creed:_Bloodlines""]","[""Assassin's_Creed:_Bloodlines""]","[""Assassin's_Creed:_Bloodlines""]","[""Assassin's_Creed:_Bloodlines""]","['Order_of_Assassins', 'Creed']"
2309,who is the publisher for the game michael jackson's moonwalker?,"[""Michael Jackson's Moonwalker""]","[""Michael_Jackson's_Moonwalker""]","[""Michael_Jackson's_Moonwalker"", 'Moonwalker', 'Moonwalk_(book)', 'Michael_Jackson-related_games', 'Blackthorne_Publishing', 'Sweet_Impact', 'Roppyaku_Tsurumi', 'Dancing_the_Dream', 'Speed_Demon_(song)', 'Return_of_the_Moonwalker']","[""Michael_Jackson's_Moonwalker""]","[""Michael_Jackson's_Moonwalker""]","[""Michael_Jackson's_Moonwalker""]","[""Michael_Jackson's_Moonwalker""]","['Publishing', 'Michael_Jackson', 'Moonwalker']"
2310,What genre is srđan branković classified as,['Srdan Brankovic'],['Srđan_Branković'],"['Srđan_Branković', 'Conflux_(album)']",['Srđan_Branković'],['Srđan_Branković'],['Srđan_Branković'],['Srđan_Branković'],['Srđan_Branković']
2311,What gender is stella ambler?,['Stella Ambler'],['Stella_Ambler'],"['Stella_Ambler', 'List_of_River_City_characters', 'Lager', 'Stell', 'Hugo_Conwentz']",['Stella_Ambler'],['Stella_Ambler'],['Stella_Ambler'],['Stella_Ambler'],"['Gender', 'Stella_Ambler']"
2312,who was buried in forest lawn memorial park?,['Forest Lawn Memorial Park (Glendale)'],['Forest_Lawn_Memorial_Park_(Glendale)'],"['Forest_Lawn_Memorial_Park_(Glendale)', 'List_of_burials_at_Forest_Lawn_Memorial_Park_(Glendale)', 'Oliver_T._Marsh', 'Fred_Guiol', 'Emil_Newman', 'J._Walter_Ruben', 'William_C._Mellor', 'Alan_Roscoe', 'Curtis_Bernhardt', 'Leo_Shuken']",['Forest_Lawn_Memorial_Park_(Glendale)'],['Forest_Lawn_Memorial_Park_(Glendale)'],['Forest_Lawn_Memorial_Park_(Glendale)'],"['Forest_Lawn_Memorial_Park_(Glendale)', 'List_of_burials_at_Forest_Lawn_Memorial_Park_(Glendale)']",['Forest_Lawn_Memorial_Park_(Glendale)']
2313,What position does the football player Serhat Akin play?,['Serhat Akin'],['Serhat_Akın'],"['Serhat_Akın', 'Hercai']",['Serhat_Akın'],['Serhat_Akın'],['Serhat_Akın'],['Serhat_Akın'],"['Association_football', 'Serhat_Akın']"
2314,Name Jacapo Bonfadio's place of death?,['Jacopo Bonfadio'],['Jacopo_Bonfadio'],"['Jacopo_Bonfadio', 'Bonifazio_Veronese', 'Jacopo_Bassano']",['Jacopo_Bonfadio'],['Jacopo_Bonfadio'],['Jacopo_Bonfadio'],['Jacopo_Bonfadio'],[]
2315,Who wrote the mayor of castro street,['The Mayor of Castro Street'],['The_Mayor_of_Castro_Street'],"['The_Mayor_of_Castro_Street', 'Market_Street_(San_Francisco)', 'Cuban_Democratic_Revolutionary_Front', 'Colonia_Tabacalera', 'SEPTA_Route_59']",['The_Mayor_of_Castro_Street'],['The_Mayor_of_Castro_Street'],['The_Mayor_of_Castro_Street'],['The_Mayor_of_Castro_Street'],"['Mayor', 'Castro_District,_San_Francisco']"
2316,What position does lee roy selmon play,['Lee Roy Selmon'],['Lee_Roy_Selmon'],"['Lee_Roy_Selmon_Expressway', 'Lee_Roy_Selmon', ""Lee_Roy_Selmon's"", 'Tampa-Hillsborough_Expressway_Authority', 'Florida_State_Road_585', 'Tampa_Bay_Crosstown_Expressway_System', 'Palma_Ceia', '1973–74_Port_Vale_F.C._season', '1976_Tampa_Bay_Buccaneers_season', 'Westfield_Brandon']",['Lee_Roy_Selmon'],['Lee_Roy_Selmon'],['Lee_Roy_Selmon'],['Lee_Roy_Selmon'],['Lee_Roy_Selmon']
2317,where did blas valera die,['Blas Valera'],['Blas_Valera'],"['Blas_Valera', 'José_de_Guzmán,_1st_Viscount_of_San_Rafael_de_la_Angostura', 'Two_nations_theory_(Ireland)', 'Valea_Lungă,_Alba', '9K720_Iskander']",['Blas_Valera'],['Blas_Valera'],"['Blas_Valera', 'Valea_Lungă,_Alba']","['Blas_Valera', 'Valea_Lungă,_Alba']",['Blas_Valera']
2318,What's n album from don omar,['Don Omar'],['Don_Omar'],"['Don_Omar', 'List_of_Don_Omar_collaborations', 'Don_Omar_Presents_MTO²:_New_Generation', 'List_of_awards_and_nominations_received_by_Don_Omar', 'El_Pentágono', 'Muammar_Gaddafi', 'Don_Omar_Presents:_Meet_the_Orphans', 'King_of_Kings_(Don_Omar_album)', 'Nonito_Donaire_vs._Omar_Narváez', 'Dutty_Love_(song)']",['Don_Omar'],['Don_Omar'],['Don_Omar'],['Don_Omar'],['Don_Omar']
2319,What is a gameplay mode in dance 86.4 funky radio station,['Dance 86.4 Funky Radio Station'],['Dance_86.4_Funky_Radio_Station'],[],[],[],[],[],['Radio_broadcasting']
2320,WHat's an instrument that eloy fritsch played,['Eloy Fritsch'],['Eloy_Fritsch'],"['Eloy_Fritsch', 'Dreams_(Eloy_Fritsch_album)', 'Mythology_(Eloy_Fritsch_album)', 'Apocalypse_(band)', 'Behind_the_Walls_of_Imagination', 'Space_Music_(album)', 'Aurora_dos_Sonhos', 'The_Bridge_of_Light_(album)', 'Apocalypse_(Apocalypse_album)', 'Cyberspace_(album)']",['Eloy_Fritsch'],['Eloy_Fritsch'],['Eloy_Fritsch'],['Eloy_Fritsch'],['Eloy_Fritsch']
2321,is jatto ceesay a man or a woman,['Jatto Ceesay'],['Jatto_Ceesay'],['Jatto_Ceesay'],['Jatto_Ceesay'],['Jatto_Ceesay'],['Jatto_Ceesay'],['Jatto_Ceesay'],['Jatto_Ceesay']
2322,what english officer was involved in the crimean war,['Crimean War'],['Crimean_War'],"['Crimean_War', 'World_War_I', 'Vietnam_War', 'Korean_War', 'War_in_Afghanistan_(2001–present)', 'Bosnian_War', 'Russo-Crimean_Wars', 'Croatian_War_of_Independence', 'Yugoslav_Wars', 'Annexation_of_Crimea_by_the_Russian_Federation']",['Crimean_War'],['Crimean_War'],['Crimean_War'],"['Crimean_War', 'Russo-Crimean_Wars']",['Crimean_War']
2323,what type of music is caledonia,['Caledonia (album)'],['Caledonia_(album)'],"['Shana_Morrison', 'Caledonia_(disambiguation)', 'The_Balham_Alligators', 'Caledonia_(Alan_Roberts_and_Dougie_MacLean_album)', 'Caledonia_(Suidakra_album)', 'Penicillium_simplicissimum', 'Wagon_Wheel_(album)', 'The_Caledonia_Soul_Orchestra', 'Loss_(Mull_Historical_Society_album)', 'Crógacht']",['Caledonia_(Suidakra_album)'],['Caledonia_(Alan_Roberts_and_Dougie_MacLean_album)'],['Caledonia_(Alan_Roberts_and_Dougie_MacLean_album)'],['Caledonia_(Alan_Roberts_and_Dougie_MacLean_album)'],[]
2324,who wrote the film jenifer,['Jenifer (Masters of Horror)'],['Jenifer_(Masters_of_Horror)'],['Jenifer_(Masters_of_Horror)'],['Jenifer_(Masters_of_Horror)'],['Jenifer_(Masters_of_Horror)'],['Jenifer_(Masters_of_Horror)'],['Jenifer_(Masters_of_Horror)'],['Darryl_Jenifer']
2325,What is echiabhi okodugha?,['Echiabhi Okodugha'],['Echiabhi_Okodugha'],['Echiabhi_Okodugha'],['Echiabhi_Okodugha'],['Echiabhi_Okodugha'],['Echiabhi_Okodugha'],['Echiabhi_Okodugha'],['Echiabhi_Okodugha']
2326,what is the nationality of fatih erkoç?,['Fatih Erkoc'],['Fatih_Erkoç'],"['Fatih_Erkoç', 'Yaşasın_Okulumuz', 'Adnan_Sadık_Erzi', 'Claviceps_zizaniae']",['Fatih_Erkoç'],['Fatih_Erkoç'],['Fatih_Erkoç'],['Fatih_Erkoç'],['Fatih_Erkoç']
2327,which company produced peter pan,['Peter Pan (1924 film)'],['Peter_Pan_(1924_film)'],"['Peter_Pan_(1924_film)', 'Peter_Sellers', 'Art_Landy', 'Tinker_Bell', 'Hal_Sutherland', 'Blake_Edwards', 'Eilean_Shona', 'Marcia_Henderson', 'List_of_Walt_Disney_Pictures_films', 'Lawrence_Tibbett']",['Peter_Pan_(1924_film)'],['Peter_Pan_(1924_film)'],['Peter_Pan_(1924_film)'],['Peter_Pan_(1924_film)'],['Peter_Pan']
2328,What country does wieprz run through,['Wieprz'],['Wieprz'],"['Gmina_Wieprz', 'Gmina_Radziechowy-Wieprz', 'Wieprz', 'Tyśmienica_(Wieprz)', 'Wieprz_Landscape_Park', 'Wieprz,_Silesian_Voivodeship', 'Windscreen_wiper', 'Wipro', 'Wieprz_(disambiguation)', '%22Weird_Al%22_Yankovic']",['Wieprz'],['Wieprz'],['Wieprz'],['Wieprz'],['Wieprz']
2329,"who wrote them, robot","['Them, Robot']","['Them,_Robot']","['A_Brief_Inquiry_into_Online_Relationships', 'OMICS_Publishing_Group', 'Them,_Robot', 'And_None_of_Them_Knew_They_were_Robots', 'Scooby-Doo', 'List_of_Dove_Medical_Press_academic_journals', 'List_of_Hindawi_academic_journals', 'Yoko_Tsuno', 'Robotic_lawn_mower', 'Sex_robot']","['Them,_Robot']","['Them,_Robot']","['Them,_Robot']","['Them,_Robot']",['Robot']
2330,what kind of book is the hard way?,['The Hard Way (novel)'],['The_Hard_Way_(novel)'],"['Jack_Reacher', 'David_Sherman', 'The_Wheel_of_Time', 'List_of_Naruto_episodes', 'OmniScriptum', 'Undercover_Brothers', 'Grand_Admiral_Thrawn', 'Goya_or_the_Hard_Way_to_Enlightenment', 'Techno-thriller', 'Welcome_to_the_N.H.K.']",['Goya_or_the_Hard_Way_to_Enlightenment'],['The_Wheel_of_Time'],"['The_Wheel_of_Time', 'Goya_or_the_Hard_Way_to_Enlightenment']","['The_Wheel_of_Time', 'Goya_or_the_Hard_Way_to_Enlightenment']",[]
2331,which city was cy bahakel born,['Cy Bahakel'],['Cy_Bahakel'],"['Cy_Bahakel', 'Bahakel_Communications']",['Cy_Bahakel'],['Cy_Bahakel'],['Cy_Bahakel'],['Cy_Bahakel'],"['City', 'Cy_Bahakel']"
2332,what type of game is colin mcrae rally,['Colin McRae Rally (video game)'],['Colin_McRae_Rally_(video_game)'],"['Colin_McRae_Rally_(video_game)', 'Colin_McRae_Rally_(2013_video_game)', 'Colin_McRae_Rally', 'Colin_McRae:_Dirt', 'Colin_McRae:_Dirt_2', 'Dirt_3', 'Colin_McRae_Rally_04', 'Dirt:_Showdown', 'Dirt_4', 'Dirt_Rally_2.0']",['Colin_McRae_Rally_(2013_video_game)'],[],['Colin_McRae_Rally_(2013_video_game)'],['Colin_McRae_Rally_(2013_video_game)'],"['Colin_McRae', 'Rallying']"
2333,what city did vasily radlov die in,['Vasily Radlov'],['Vasily_Radlov'],"['Vasily_Radlov', 'Old_Turkic_script', 'Laura_Bailey_(model)', 'Chris_Walton']",['Vasily_Radlov'],['Vasily_Radlov'],['Vasily_Radlov'],['Vasily_Radlov'],"['City', 'Vasily_Radlov']"
2334,Who is a notable figure that was born in new york city,['New York City'],['New_York_City'],"['New_York_City', 'Manhattan', 'Buffalo,_New_York', 'Brooklyn', 'City_College_of_New_York', 'New_York_University', 'New_York_City_FC', 'Columbia_University', 'New_York_Knicks', 'Rochester,_New_York']",['New_York_City'],['New_York_City'],['New_York_City'],['New_York_City'],['City']
2335,What is Bill Wallace's profession?,['Bill Wallace (American football)'],['Bill_Wallace_(American_football)'],"['Bill_Wallace_(American_football)', '1921_Vanderbilt_Commodores_football_team', 'Levi_Wallace_(American_football)', 'Wallace_Francis', 'Bob_Barrett_(American_football)', 'Al_Wallace']",['Bill_Wallace_(American_football)'],['Bill_Wallace_(American_football)'],['Bill_Wallace_(American_football)'],['Bill_Wallace_(American_football)'],['Bill_Wallace_(martial_artist)']
2336,is madden nfl 2003 a multiplayer or single player game,['Madden NFL 2003'],['Madden_NFL_2003'],"['Madden_NFL_2003', 'Madden_NFL_2001', 'Madden_NFL_2002', 'Madden_NFL_2005', 'Madden_NFL_2004', 'Madden_NFL_09', 'Madden_NFL_08', 'Madden_NFL_06', 'Madden_NFL_2000', 'Madden_NFL_07']",['Madden_NFL_2003'],['Madden_NFL_2003'],['Madden_NFL_2003'],['Madden_NFL_2003'],"['Madden_NFL_2003', 'Multiplayer_video_game']"
2337,In which Colombian city did alberto lleras camargo die,['Alberto Lleras Camargo'],['Alberto_Lleras_Camargo'],"['Alberto_Lleras_Camargo', 'Alberto_Lleras_Camargo_Airport', 'Bertha_Puga_Martínez', 'Arturo_Puga', 'National_Front_(Colombia)', '1961_Bolivarian_Games']",['Alberto_Lleras_Camargo'],['Alberto_Lleras_Camargo'],['Alberto_Lleras_Camargo'],['Alberto_Lleras_Camargo'],"['Colombians', 'City', 'Alberto_Lleras_Camargo']"
2338,In what country is shan state,['Shan State'],['Shan_State'],"['Shan_State', 'Shan_States', 'Shan_State_Army_-_North', 'List_of_rulers_of_Shan_states', 'Shan_State_Army_-_South', 'Islamic_State_of_Iraq_and_the_Levant', 'Shan_State_Army', 'Namhkam,_Shan_State', 'Hsipaw', 'Kyaukme,_Shan_State']",['Shan_State'],['Shan_State'],['Shan_State'],['Shan_State'],['Shan_people']
2339,What is the gender of mignon g. eberhart?,['Mignon G. Eberhart'],['Mignon_G._Eberhart'],"['Mignon_G._Eberhart', 'Unknown_Quantity', 'The_White_Dress', 'With_This_Ring_(1941_novel)', ""The_Hangman's_Whip"", 'The_Dark_Stairway', 'Enemy_in_the_House', 'Escape_the_Night_(novel)', 'Speak_No_Evil_(novel)', 'The_House_on_the_Roof']",['Mignon_G._Eberhart'],['Mignon_G._Eberhart'],['Mignon_G._Eberhart'],['Mignon_G._Eberhart'],['Gender']
