,question,entities,MuHeQA_FLERT
2521,What is the name of an artist that is signed to noise records,['Noise Records'],"['artist', 'noise records']"
2522,which country is davey moore from ,['Davey Moore'],['davey moore']
2523,what is a jazz album recorded in 1966?,['jazz'],"['jazz album', '1966']"
2524,advise & consent is a film produced by whom?,['Advise & Consent'],['& film']
2525,what is a romance film ,['romance film'],['romance film']
2526,whats folliott sandford pierpoint's gender,['Folliott Sandford Pierpoint'],"['folliott sandford pierpoint', 'gender']"
2527,what is carl emil petersen's biological sex,['Carl Emil Petersen'],['carl emil petersen']
2528,Which artist is known for gangsta rap?,['gangsta rap'],"['artist', 'gangsta rap']"
2529,what kind of object is (5834) 1992 sz14,['5834 Kasai'],"['object', '5834', '1992 sz14']"
2530,who directed a fistful of fingers ,['A Fistful of Fingers'],['fingers']
2531,who directed too romantic,['Too Romantic'],[]
2532,where in turkey did manuel ii palaiologos' place of death?,['Manuel II Palaiologos'],"[""manuel ii palaiologos'"", 'turkey']"
2533,what country gave jeb loy nichols his or her nationality,['Jeb Loy Nichols'],['jeb loy nichols']
2534,Who developed unreal championship?,['Unreal Championship'],['unreal championship']
2535,what genre did the artist in dread response perform,['In Dread Response'],"['genre', 'dread response']"
2536,what is ali g's gender?,['Ali G'],"['ali g', 'gender']"
2537,What male politician died from tuberculosis?,['tuberculosis'],"['male politician', 'tuberculosis']"
2538,which major war did edward whipple bancroft morrison participate in,['Edward Whipple Bancroft Morrison'],['edward whipple bancroft morrison']
2539,is philippe jaroussky male or female,['Philippe Jaroussky'],['philippe jaroussky male or female']
2540,what type of music is congorock categorized as,['Congorock'],"['music', 'congorock']"
2541,who was a judge,['judge'],['judge']
2542,In which northern french city was matthias de lobel born?,"[""Matthias de l'Obel""]","['matthias de lobel', 'northern french city']"
2543,What is the gender of markus bott,['Markus Bott'],['markus bott']
2544,Where was phil harvey birthed,['Phil Harvey'],['phil harvey']
2545,where in england was angela c. smith born?,['Angela Smith'],"['angela c. smith', 'england']"
2546,What gender is mónika lamperth?,['Mónika Lamperth'],['mónika lamperth']
2547,who was an instrumentalist that played the saxophone,['saxophone'],"['instrumentalist', 'saxophone']"
2548,where did paul foucher pass away,['Paul Foucher'],['paul foucher']
2549,what genre is the computer videogame i of the dragon,['I of the Dragon'],"['genre', 'computer videogame', 'dragon']"
2550,what belgian player plays as a defender in football,['defender'],['belgian player']
2551,which 2007 comedy film did robert pulcini directed?,['Robert Pulcini'],['robert pulcini']
2552,Name an african american person,['African Americans'],['african american person']
2553,what country is ella enchanted from,['Ella Enchanted'],"['country', 'ella']"
2554,What country is oceane from?,['Océane'],['country']
2555,what language is waking up in reno in?,['Waking Up in Reno'],['reno']
2556,who is the hale telescope named after?,['Hale Telescope'],['hale telescope']
2557,what gameplay mode does secret of mana have,['Secret of Mana'],['secret of mana']
2558,What is the country of origin of the film besa e kuqe?,['Besa e kuqe'],['e kuqe']
2559,what albums have been released by humble pie?,['Humble Pie'],['humble pie']
2560,what is bambi jones's gender?,['Bambi Jones'],['bambi jones']
2561,what country gives michael vescera his nationality,['Michael Vescera'],['michael vescera']
2562,who is dizengoff street named after,['Dizengoff Street'],['dizengoff street']
2563,where was don healy born,['Don Healy'],['don healy']
2564,in what category is 2912 lapalma,['2912 Lapalma'],"['category', '2912 lapalma']"
2565,What is the name of a film that david arnold contributed music toward,['David Arnold'],['david arnold']
2566,What is the birth place of minnie tittell brune?,['Minnie Tittell Brune'],['minnie tittell brune']
2567,who are valentinian ii's parents,['Valentinian II'],['valentinian ii']
2568,what kind of film is bowl of oatmeal,['Bowl of Oatmeal'],['bowl of oatmeal']
2569,what is ian johnson's gender?,['Ian Johnson'],['ian johnson']
2570,who was a person that was born in suffolk,['Suffolk'],['suffolk']
2571,What was the genre of the film mrs. fitzherbert,['Mrs. Fitzherbert'],['film mrs. fitzherbert']
2572,What is d. w. griffith's gender?,['D. W. Griffith'],['d. w. griffith']
2573,What is charles trudeau's nationality,['Charles Trudeau'],['charles trudeau']
2574,who is the author of bloodlines,['Bloodlines'],['bloodlines']
2575,in what country is north triangle pond located,['Triangle Pond'],['north triangle pond']
2576,which movie is produced by k. s. rama rao,['K. S. Rama Rao'],['k. s. rama rao']
2577,who directed the movie planet ocean,['Planet Ocean'],['movie planet ocean']
2578,which musical instrument is played by quoc-bao,['Quoc-Bao'],"['musical instrument', 'quoc-bao']"
2579,what is lin houston's gender?,['Lin Houston'],['lin houston']
2580,Who directed without anesthesia?,['Without Anesthesia'],['anesthesia']
2581,What caused the death of ronald davis?,['Ronald Davis'],['ronald davis']
2582,which country is p. balachandran from,['P. Balachandran'],['p. balachandran']
2583,Where is dave gerard from,['Dave Gerard'],['dave gerard']
2584,where did battle of faesulae take place,['Battle of Faesulae'],"['faesulae', 'place']"
2585,which country released eldorado,['Eldorado'],['eldorado']
2586,what are books written by rex stout,['Rex Stout'],['rex stout']
2587,What is the second level division of douglas county?,['Douglas County'],['douglas county']
2588,what is james mitchell (manager)'s gender?,['James Mitchell'],['james mitchell']
2589,what was the cause of death of pierre delanoë,['Pierre Delanoë'],['pierre delanoë']
2590,Who was douglas engelbart influenced by?,['Douglas Engelbart'],['douglas engelbart']
2591,Who was hancock county named after,['Hancock County'],['hancock county']
2592,who was the author of the startide rising novel,['Startide Rising'],"['startide', 'novel']"
2593,what city was buzz kilman given birth in,['Buzz Kilman'],['buzz kilman']
2594,"where was louis philippe, comte de ségur born",['Louis-Philippe de Ségur'],['louis philippe']
2595,what types of movie is the shock,['The Shock'],"['movie', 'shock']"
2596,Where did constance adams demille die,['Constance Adams DeMille'],['constance adams demille']
2597,where was katsuhito asano born,['Katsuhito Asano'],['katsuhito asano']
2598,who was isabel maxwell's dad,['Isabel Maxwell'],['isabel maxwell']
2599,"john linscom boss, jr. died where?","['John Linscom Boss, Jr.']",['john linscom boss']
2600,What sort of metal does petr hošek play,['Petr Hošek'],['petr hošek']
2601,What military government got its name from tokugawa ieyasu,['Tokugawa Ieyasu'],['tokugawa ieyasu']
2602,what religion does bianca jagger practice,['Bianca Jagger'],['bianca jagger']
2603,who is john landis's song's name ,['John Landis'],['john landis']
2604,What genre of game is maximo vs. army of zin?,['Maximo vs. Army of Zin'],"['game', 'zin']"
2605,Where was Álvaro raposo de oliveira born?,['Álvaro Raposo de Oliveira'],['Álvaro raposo de oliveira']
2606,what type of country is b. j. thomas from ,['B. J. Thomas'],['b. j. thomas']
2607,Who is the developer of the videogame star trek: conquest?,['Star Trek: Conquest'],['star trek : conquest']
2608,What female producer is responsible for the decline of western civilization?,['The Decline of Western Civilization'],"['female producer', 'western civilization']"
2609,what film did dennis dugan direct,['Dennis Dugan'],['dennis dugan']
2610,Who is an artist that was signed to black mark productions,['Black Mark Productions'],"['artist', 'black mark productions']"
2611,who is the founder of the hess corporation?,['Hess Corporation'],['hess corporation']
2612,What team plays in philips stadion?,['Philips Stadion'],"['team', 'philips stadion']"
2613,Which country was louis jurine from,['Louis Jurine'],['louis jurine']
2614,Where did bartholomew ulufaalu die?,"[""Bartholomew Ulufa'alu""]",['bartholomew ulufaalu']
2615,What music genre is unstoppable?,['Unstoppable'],['music genre']
2616,Which artist wrote on your sleeve,['On Your Sleeve'],"['artist', 'sleeve']"
2617,what gender is luisa valenzuela?,['Luisa Valenzuela'],['luisa valenzuela']
2618,to what film did scott bradley contribute music,['Scott Bradley'],['scott bradley']
2619,where was kasey lansdale given birth,['Kasey Lansdale'],['kasey lansdale']
2620,what gender is chris jones ,['Chris Jones'],['chris jones']
2621,what genre is the generous mr. lovewell?,['The Generous Mr. Lovewell'],['generous mr. lovewell']
2622,what is paul edwin roth's gender ,['Paul Edwin Roth'],['paul edwin roth']
2623,which football position does josé joão pereira play,['José João Pereira'],['josé joão pereira']
2624,what game player mode is doraemon: nobita to mittsu no seireiseki played in?,['Doraemon: Nobita to Mittsu no Seireiseki'],['doraemon : nobita to mittsu no seireiseki']
2625,who is a person of african american ethnicity ,['African Americans'],['african american ethnicity']
2626,what position does michael sternkopf like to play,['Michael Sternkopf'],['michael sternkopf']
2627,what politician was birthed in new york city,['New York City'],['new york city']
2628,which professional footballer was born in  hemel hempstead,['Hemel Hempstead'],"['professional footballer', 'hemel hempstead']"
2629,what is the title of a netflix documentary film?,['documentary film'],['netflix documentary film']
2630,"if william bates is a man, what's his sex",['William Bates'],['william bates']
2631,what country is in absentia filmed in,['In Absentia'],"['country', 'absentia']"
2632,who is shakespeare tower named after,['Shakespeare Tower'],['shakespeare tower']
2633,What netflix genre is blackenstein?,['Blackenstein'],"['netflix genre', 'blackenstein']"
2634,what is benito stefanelli's place of birth in europe?,['Benito Stefanelli'],"['benito stefanelli', 'europe']"
2635,what gender is krystyna janda,['Krystyna Janda'],['krystyna janda']
2636,Where was dave b. mitchell born?,['Dave B. Mitchell'],['dave b. mitchell']
2637,where was reema debnath born,['Reema Debnath'],['reema debnath']
2638,who is the child of newton n. minow?,['Newton N. Minow'],['newton n. minow']
2639,what actor did adapt the super troopers film,['Super Troopers'],"['actor', 'super troopers film']"
2640,what is the henry rollins show from?,['The Henry Rollins Show'],['henry rollins']
2641,What is the genre of the book divisadero,['Divisadero'],['book divisadero']
2642,where was jacques rémy born,['Jacques Rémy'],['jacques rémy']
2643,who was born in marianao,['Marianao'],['marianao']
2644,What is ashkan sahihi's gender,['Ashkan Sahihi'],['ashkan sahihi']
2645,what silent film was released in 1927?,['silent film'],"['silent film', '1927']"
2646,who was the publisher of silent hunter 4: wolves of the pacific,['Silent Hunter 4: Wolves of the Pacific'],['silent hunter 4 : wolves of the pacific']
2647,who was the producer for  butterflies are free,['Butterflies Are Free'],['butterflies']
2648,what country is mario reiter from,['Mario Reiter'],['mario reiter']
2649,which basin countries does the redea river flow through,['Redea River'],"['basin countries', 'redea river']"
2650,what city in Westchester County is brian sweeney from,['Brian Sweeney'],"['brian sweeney', 'Westchester County']"
2651,is jay costa male or female,['Jay Costa'],['jay costa male or female']
2652,What country was desk set filmed in?,['Desk Set'],"['country', 'desk']"
2653,which soccer position is played by thanasis papazoglou,['Thanasis Papazoglou'],['thanasis papazoglou']
2654,where is knob noster ,['Knob Noster'],['knob noster']
2655,What is neil sloane's gender?,['Neil Sloane'],['neil sloane']
2656,what type of movie is main street,['Main Street'],"['movie', 'main street']"
2657,which mode is atlantis evolution played in,['Atlantis Evolution'],['atlantis evolution']
2658,which country released battle of neretva,['Battle of Neretva'],['neretva']
2659,What was the cause of death of dave smalley,['Dave Smalley'],['dave smalley']
2660,what country is the banjar regency a part of ,['Banjar'],"['country', 'banjar regency']"
2661,what is shalva maglakelidze's gender?,['Shalva Maglakelidze'],['shalva maglakelidze']
2662,which games has midway games published,['Midway Games'],"['games', 'midway games']"
2663,who is father of nigel calder,['Nigel Calder'],['nigel calder']
2664,Who was born in weimar?,['Weimar'],['weimar']
2665,what is the name of handball team,['handball'],['handball team']
2666,how does pierre charron identify ,['Pierre Charron'],['pierre charron']
2667,what position does sergey kramarenko play in football,['Sergey Kramarenko'],['sergey kramarenko']
2668,Where was Branko Isaković born?,['Branko Isaković'],['Branko Isaković']
2669,What profession was Bernard Kouchner in?,['Bernard Kouchner'],['Bernard Kouchner']
2670,What country is greg white from,['Stylez G. White'],['greg white']
2671,What is the name of someone who is african american,['African Americans'],['african american']
2672,"what is the nationality of john malcolm duhé, jr.","['John Malcolm Duhé, Jr.']",['john malcolm duhé']
2673,Name a work by robert b. parker,['Robert B. Parker'],['robert b. parker']
2674,Name a norwegian football defender born in kristiansand,['Kristiansand'],"['norwegian football defender', 'kristiansand']"
2675,What is the gender of sidney edwards morse?,['Sidney Edwards Morse'],['sidney edwards morse']
2676,what position does dave huppert play,['Dave Huppert'],['dave huppert']
2677,where was revolution released ,['Revolution'],['revolution']
2678,Where did alfred uhl die,['Alfred Uhl'],['alfred uhl']
2679,who made the music for muscle beach tom,['Muscle Beach Tom'],['muscle beach tom']
2680,which russian city was nestor kukolnik born in,['Nestor Kukolnik'],"['russian city', 'nestor kukolnik']"
2681,what is pepe marchena's nationality ,['Pepe Marchena'],['pepe marchena']
2682,who is a singer and a model (person),['model'],"['singer and', 'model', 'person']"
2683,what is a movie by the cinematographer s. gopal reddy,['S. Gopal Reddy'],['cinematographer s. gopal reddy']
2684,Who is an artist that was signed by epic records,['Epic Records'],"['artist', 'epic records']"
2685,What movie has jacques demy directed,['Jacques Demy'],['jacques demy']
2686,What city did walther rathenau die in?,['Walther Rathenau'],['walther rathenau']
2687,what genre is the book the seven storey mountain ,['The Seven Storey Mountain'],['seven storey mountain']
2688,ponderosa is under what genre,['Ponderosa'],"['ponderosa', 'genre']"
2689,where in brazil was andré bahia born?,['André Bahia'],"['brazil', 'andré bahia']"
2690,what is and then there were none's album,['And Then There Were None'],"['and none', 'album']"
2691,What is the nationality of alex karmo,['Alex Karmo'],['alex karmo']
2692,What country did the show i'm a big girl now originate from,"[""I'm a Big Girl Now""]","[""i 'm a big girl now""]"
2693,what language is thomas jefferson spoken in,['Thomas Jefferson'],['thomas jefferson']
2694,Name a game that has single-player mode,['single-player video game'],"['game', 'single-player mode']"
2695,where was erich sundermann born,['Erich Sundermann'],['erich sundermann']
2696,Where in Austria was franz wallack born?,['Franz Wallack'],"['franz wallack', 'Austria']"
2697,What country did the film originate? ,['Afghan Luke'],"['country', 'film']"
2698,what is the title of a  slasher movie,['slasher film'],['slasher movie']
2699,damon albarn wrote the lyrics for what song?,['Damon Albarn'],['damon albarn']
2700,what country is the film strange holiday from,['Strange Holiday'],['country']
2701,is milton green male or female,['Milton Green'],['milton green male or female']
2702,the night i fell in love is an album by what acclaimed artist,['The Night I Fell in Love'],['the night i fell in love']
2703,What conflict did raymond zussman participate in?,['Raymond Zussman'],['raymond zussman']
2704,who is a person buried in elmwood cemetery,['Elmwood Cemetery'],"['person', 'elmwood cemetery']"
2705,what is steve harvey's profession,['Steve Harvey'],['steve harvey']
2706,which movie was written by david koepp,['David Koepp'],['david koepp']
2707,Where did m. a. r. barker pass away,['M. A. R. Barker'],['m. a. r. barker']
2708,Name an actor.,['actor'],['actor']
2709,where in new york city was billybangartist's place of death?,['Billy Bang'],['new york city']
2710,who wrote any number can play,['Any Number Can Play'],['number']
2711,what type of genre is i dood it?,['I Dood It'],['genre']
2712,what position does ray moore play,['Ray Moore'],['ray moore']
2713,what sex is john rand?,['John Rand'],['john rand']
2714,What is the genre of the book the berlin stories?,['The Berlin Stories'],"['book', 'berlin stories']"
2715,who is the director of the canada on strike episode,['Canada on Strike'],['canada']
2716,who was the architect of coventry cathedral,['Coventry Cathedral'],['coventry cathedral']
2717,Who wrote the episode red hot catholic love?,['Red Hot Catholic Love'],['episode red hot catholic love']
2718,which label does tinariwen release music under,['Tinariwen'],['tinariwen']
2719,who created the tv program bams unholy union,"[""Bam's Unholy Union""]",['tv program bams unholy union']
2720,who was evans named after,['Evans'],['evans']
2721,who directed the movie volga-volga,['Volga-Volga'],['movie volga-volga']
2722,what is the nationality of mike glennon?,['Mike Glennon'],['mike glennon']
2723,what type of game is sound shapes?,['Sound Shapes'],"['game', 'sound shapes']"
2724,Who was born in Montevideo?,['Montevideo'],['Montevideo']
2725,what biological sex is daniel schlereth,['Daniel Schlereth'],['daniel schlereth']
2726,what album was done by the artist sworn enemy,['Sworn Enemy'],"['album', 'artist', 'enemy']"
2727,what is the peter friedrich bouché's sex?,['Peter Friedrich Bouché'],['peter friedrich bouché']
2728,what country is rivals from?,['Rivals'],['country']
2729,Is karim ouelhaj male or female,['Karim Ouelhaj'],['karim ouelhaj']
2730,what creed does william webster practice,['William Webster'],['william webster']
2731,what language is spoken in stranger on horseback?,['Stranger on Horseback'],"['language', 'horseback']"
2732,who is the artist behind nothing comes for free,['Nothing Comes for Free'],['nothing']
2733,Whose album is double trouble?,['Double Trouble'],"['album', 'double trouble']"
2734,what kind of film is the coming days,['The Coming Days'],"['film', 'days']"
2735,what nationality is gurdeep singh?,['Gurdeep Singh'],['gurdeep singh']
2736,who is the father of richie steamboat,['Richie Steamboat'],['richie steamboat']
2737,who wrote friend of the devil,['Friend of the Devil'],['devil']
2738,what type of music does michaela paetsch make ,['Michaela Paetsch'],['michaela paetsch']
2739,Former baseball player hank fischer played which position?,['Hank Fischer'],['former baseball player hank fischer']
2740,which soccer position is played by ayden duffy,['Ayden Duffy'],['ayden duffy']
2741,what is bertrand moulinet's gender ,['Bertrand Moulinet'],['bertrand moulinet']
2742,which country is the film truck stop women located in?,['Truck Stop Women'],['film truck stop women']
2743,which netherlands city was andries bicker born in?,['Andries Bicker'],"['andries bicker', 'netherlands city']"
2744,where in new york did paul oskar kristeller die?,['Paul Oskar Kristeller'],"['paul oskar kristeller', 'new york']"
2745,what is carl hansen's gender,['Carl Hansen'],['carl hansen']
2746,what kind of video game is looney tunes: marvin strikes back!,['Looney Tunes: Marvin Strikes Back!'],['marvin strikes']
2747,which gender is augustin verot,['Augustin Verot'],['gender']
2748,What label is juvenile associated with?,['Juvenile'],['label']
2749,what kind of music is better than raw ,['Better Than Raw'],['music']
2750,what city in greece did  michalis oikonomou die,['Michalis Oikonomou'],"['greece', 'michalis oikonomou']"
2751,what position does jaime villegas play ,['Jaime Villegas'],['jaime villegas']
2752,Where was andreas schmidt-schaller born?,['Andreas Schmidt-Schaller'],['andreas schmidt-schaller']
2753,what is a turn-based rpg that features multiplayer,['multiplayer video game'],"['turn-based rpg', 'multiplayer']"
2754,what kind of film is tonight we sing?,['Tonight We Sing'],"['film', 'tonight']"
2755,Who produced the film ex machina,['Appleseed Ex Machina'],['machina']
2756,What is a local government area in victoria (australia)?,['Victoria'],"['victoria', 'australia']"
2757,whats the title of a  alternative rock album,['alternative rock'],['alternative rock album']
2758,Where was elden kingston found to have died?,['Elden Kingston'],['elden kingston']
2759,which country was praying with anger filmed,['Praying with Anger'],"['country', 'anger']"
2760,Name a person born in hokkaido.,['Hokkaido'],['hokkaido']
2761,Which country was etienne chicot born in,['Étienne Chicot'],['etienne chicot']
2762,which country was my first kiss released in ,['My First Kiss'],"['country', 'first kiss']"
2763,where did nappy brown's life end,['Nappy Brown'],['nappy brown']
2764,what is the nationality of errikos thalassinos,['Errikos Thalassinos'],['errikos thalassinos']
2765,"which company produced mary poppins, goodbye?","['Mary Poppins, Goodbye']","['mary poppins , goodbye']"
2766,what language is love 101 filmed in,['Love 101'],['love 101']
2767,what country is in the film sitting target,['Sitting Target'],"['country', 'film sitting target']"
2768,What gender is bartosz obuchowicz?,['Bartosz Obuchowicz'],['bartosz obuchowicz']
2769,Which film did harris jayaraj do the music for,['Harris Jayaraj'],['harris jayaraj']
2770,which university had napoleon as a founder,['Napoleon'],['napoleon']
2771,who directed the movie ain't she tweet,"[""Ain't She Tweet""]",['movie']
2772,what is the rank of the organism classification sium sisarum?,['Sium sisarum'],['organism classification sium sisarum']
2773,What is shiho kawaragi's nationality,['Shiho Kawaragi'],['shiho kawaragi']
2774,what is roddy maude-roxby's country of nationality?,['Roddy Maude-Roxby'],['roddy maude-roxby']
2775,which genre does george jackson perform,['George Jackson'],['george jackson']
2776,what type of music does foxy brown (rapper) perform,['Foxy Brown'],['foxy brown']
2777,who composed the song the rainbow connection,['Rainbow Connection'],"['song', 'rainbow connection']"
2778,Where was Takeshi Matsuyama born?,['Takeshi Matsuyama'],['Takeshi Matsuyama']
2779,What is the name of a film in the drama genre,['drama film'],['drama genre']
2780,Who did the cinematography of the stranger,['The Stranger'],['stranger']
2781,"which politician was born in victoria, british columbia",['Victoria'],"['victoria', 'british columbia']"
2782,Name a athlete who plays shooting guard in basketball.,['shooting guard'],"['athlete', 'basketball']"
2783,what film is a type of drama?,['drama film'],"['film', 'drama']"
2784,Who is a Ukrainian football midfielder?,['midfielder'],['Ukrainian']
2785,what instrument does tony laureano play,['Tony Laureano'],['tony laureano']
2786,Name someone who was born in rotherham,['Rotherham'],['rotherham']
2787,The film in praise of older women was based in which country?,['In Praise of Older Women'],"['women', 'country']"
2788,Which genre of film is saturday night?,['Saturday Night'],"['film', 'saturday night']"
2789,What genre of book is villa incognito?,['Villa Incognito'],"['book', 'villa incognito']"
2790,what city did leon biliński ie in,['Leon Biliński'],['leon biliński']
2791,gigantics was produced by whom?,['Absolute Giganten'],['gigantics']
2792,is benjamin watson a man or a woman,['Benjamin Watson'],['benjamin watson']
2793,what movie was bert glennon a cinematographer on,['Bert Glennon'],['bert glennon']
2794,what is david hall's nationality ,['David Hall'],['david hall']
2795,"what city is conway county, arkansas in",['Conway County'],"['conway county', 'arkansas']"
2796,what is the country of origin associated with fast money (cnbc),['Fast Money'],"['origin', 'fast money', 'cnbc']"
2797,who plays as a defender in football,['defender'],['football']
2798,What position did soccer player kenan Čejvanović play,['Kenan Čejvanović'],['kenan Čejvanović']
2799,what city was michael shure born in,['Michael Shure'],['michael shure']
2800,who is the publisher for the game south park: chef's luv shack,"[""South Park: Chef's Luv Shack""]","[""south park : chef 's luv shack""]"
2801,What kind of film is snowfall in taipei?,['Snowfall in Taipei'],['taipei']
2802,What language is spoken in the tv show sailor moon,['Sailor Moon'],['tv show sailor moon']
2803,is dagmar heller male or female,['Dagmar Heller'],['dagmar heller male or female']
2804,what german city did heinz oskar wuttig die in,['Heinz Oskar Wuttig'],"['heinz oskar wuttig', 'german city']"
2805,which position in football does angelo pizzetti play as?,['Angelo Pizzetti'],['angelo pizzetti']
2806,Name a person with the profession of impresario.,['impresario'],['impresario']
2807,Where did madame de la fayette die?,['Madame de Lafayette'],['madame de la fayette']
2808,what's the taxonomic rank of the house finch,['Carpodacus mexicanus'],['house finch']
2809,is rhett miller or beyonce the artist associated with mythologies,['Mythologies'],['rhett miller or beyonce']
2810,where is rok hanžič from,['Rok Hanžič'],['rok hanžič']
2811,what's the language that four stones for kanemitsu was filmed in,['Four Stones for Kanemitsu'],['four stones for kanemitsu']
2812,What is the sex of edgar wilson,['Edgar Wilson'],['edgar wilson']
2813,what indian screenwriter was born in mumbai,['Mumbai'],"['mumbai', 'indian screenwriter']"
2814,where did cardell camper die,['Cardell Camper'],['cardell']
2815,who are individuals born in montreal,['Montreal'],['montreal']
2816,what is konstantin dzutsev's nationality?,['Konstantin Dzutsev'],['konstantin dzutsev']
2817,who created batman,['Batman'],['batman']
2818,what type of game is pingus?,['Pingus'],"['game', 'pingus']"
2819,how is the 11425 wearydunlop categorized,['11425 Wearydunlop'],['11425 wearydunlop']
2820,Which gameplay mode is used for harry potter and the half-blood prince?,['Harry Potter and the Half-Blood Prince'],"['harry potter and', 'the half-blood prince']"
2821,Where did ferdinando galli-bibiena pass away,['Ferdinando Galli-Bibiena'],['ferdinando galli-bibiena']
2822,Who was born in yakima?,['Yakima'],['yakima']
2823,What company developed blazing angels?,['Blazing Angels: Squadrons of WWII'],"['company', 'angels']"
2824,what is sergei puskepalis's place of birth,['Sergei Puskepalis'],['sergei puskepalis']
2825,What is the video game genre of god of war iii,['God of War III'],['god of war iii']
2826,what position does jay gainer play?,['Jay Gainer'],['jay gainer']
2827,What is the place of death of ralph m. rich?,['Ralph M. Rich'],['ralph m. rich']
2828,what is per roar bredvold's sex,['Per Roar Bredvold'],['roar bredvold']
2829,"What genre is the film ""Americas Sweethearts""?","[""America's Sweethearts""]",['Americas Sweethearts']
2830,what player mode is available for dance dance revolution ultramix 3?,['Dance Dance Revolution Ultramix 3'],['dance dance revolution ultramix 3']
2831,what is the production company for the film on the road,['On the Road'],['road']
2832,what kind of film is the tomb of ligeia ,['The Tomb of Ligeia'],['the tomb of ligeia']
2833,what is t. keith glennan's nationality,['T. Keith Glennan'],['t. keith glennan']
2834,what kind of film is the fly,['The Fly'],"['film', 'fly']"
2835,what is the tv program all that's country of origin,['All That'],"['tv program', 'origin']"
2836,What language is the film la ricotta in?,['Curd Cheese'],['la ricotta']
2837,yes (band)  is a performer of what musical genre,['Yes'],"['band', 'musical genre']"
2838,What independent movies can be found on netflix?,['independent film'],"['independent movies', 'netflix']"
2839,which country does terry considine belong to,['Terry Considine'],['terry considine']
2840,was kastro born in manhattan or boston,['Kastro'],"['kastro', 'manhattan or boston']"
2841,"what county is bernardsville, new jersey in",['Bernardsville'],"['bernardsville', 'new jersey']"
2842,What baseball player was born in san francisco?,['San Francisco'],['san francisco']
2843,Name an artist on the label flip records,['Flip Records'],['label flip records']
2844,what genre of film is night and day in?,['Night and Day'],['film']
2845,Which position does the football player samir fazli play?,['Samir Fazli'],['football player samir fazli']
2846,what position does corey webster play in football,['Corey Webster'],['corey webster']
2847,what is the sex of hubert renfro knickerbocker?,['Hubert Renfro Knickerbocker'],['hubert renfro knickerbocker']
2848,What is the place of death of lane smith?,['Lane Smith'],['lane smith']
2849,what does 3665 fitzgerald rotate around ,['3665 Fitzgerald'],['3665 fitzgerald']
2850,which airport is the hub for winair,['Winair'],['winair']
2851,what kind of music does the emerson string quartet play,['Emerson String Quartet'],"['music', 'emerson string quartet']"
2852,"who is the child of santo trafficante, sr.?","['Santo Trafficante, Sr.']",['trafficante']
2853,what kind of gender is malcolm brabant?,['Malcolm Brabant'],['malcolm brabant']
2854,which musician contributed to acid factory,['Acid Factory'],"['musician', 'acid factory']"
2855,who recorded thunderstorms and neon signs,['Thunderstorms and Neon Signs'],['thunderstorms and neon signs']
2856,which language is composed by quando me'n vo',"[""Quando me'n vo'""]",['language']
2857,who is a person born in imus,['Imus'],"['person', 'imus']"
2858,where was jonas grosch born?,['Jonas Grosch'],['jonas grosch']
2859,is hannah frank female or male,['Hannah Frank'],['hannah frank']
2860,which film did film4 productions produce ,['Film4 Productions'],"['film', 'film4 productions']"
2861,what organization was founded by  sidney myer,['Sidney Myer'],['sidney myer']
2862,what is ejnar nettelbladt's nationality?,['Ejnar Nettelbladt'],['ejnar nettelbladt']
2863,what is the biological gender of gianni solaro?,['Gianni Solaro'],['gianni solaro']
2864,What is Christian Pena's place of birth?,['Christian Pena'],['Christian Pena']
2865,which world conflict did gustav gihr participate in?,['Gustav Gihr'],['gustav gihr']
2866,what country is stefan könig from,['Stefan König'],['stefan könig']
2867,What is the gender of destorm,['DeStorm Power'],['destorm']
2868,what genre of film is emma?,['Emma'],['emma']
2869,who created kutumb,['Kutumb'],['kutumb']
2870,name the football position that reis ashraf  plays,['Reis Ashraf'],['reis ashraf']
2871,Where is Julien MacDonald from?,['Julien Macdonald'],['Julien MacDonald']
2872,what country was killing spree filmed in,['Killing Spree'],"['country', 'spree']"
2873,who founded the international aids vaccine initiative,['International AIDS Vaccine Initiative'],['international aids vaccine initiative']
2874,what genre of film is tortilla heaven,['Tortilla Heaven'],"['film', 'tortilla heaven']"
2875,what country did slc punk! originate from,['SLC Punk!'],"['country', 'slc']"
2876,Name an actor,['actor'],['actor']
2877,who is meritaten's parents ,['Meritaten'],['meritaten']
2878,What sort of movie is the wrecking crew,['The Wrecking Crew'],"['movie', 'wrecking crew']"
2879,where did charles cleveland pass away,['Charles Cleveland'],['charles cleveland']
2880,what belt does  2295 matusovskij belong to,['2295 Matusovskij'],"['belt', '2295 matusovskij']"
2881,ivan jević is a Serbian footballer playing in which position?,['Ivan Jević'],"['ivan jević', 'Serbian']"
2882,which country is swingers located in?,['Swingers'],"['country', 'swingers']"
2883,what subset of rock does erik brann play,['Erik Brann'],['erik brann']
2884,who developed phoenix wright: ace attorney: justice for all ,['Phoenix Wright: Ace Attorney – Justice for All'],"['phoenix wright', 'ace attorney']"
2885,what position does vicente biurrun play in football,['Vicente Biurrun'],['vicente biurrun']
2886,Name an american football player,['American football player'],['american football player']
2887,what is an album by the miracles,['The Miracles'],['miracles']
2888,Who is a notable manager,['association football manager'],['notable manager']
2889,What's an example of a baseball pitcher?,['pitcher'],['baseball pitcher']
2890,What gender is jerry jaxon,['Jerry Jaxon'],['jerry jaxon']
