,question,responses,MuHeQA_Rank,MuHeQA_Top1,MuHeQA_Top2,MuHeQA_Top3,Wiki_Rank,Wiki_Top1,Wiki_Top2,Wiki_Top3,DBpedia_Rank,DBpedia_Top1,DBpedia_Top2,DBpedia_Top3
2857,Name a professional singer-songwriter,['Franck Monnet'],,,,,,,,,,,,
2858,Who produced the movie house of the dead,[nan],,,,,,,,,,,,
2859,where in arizona did virginia d. smith live the final days of her life,"['Sun City West, Arizona']",,,,,,,,,,,,
2860,What country is the film sedin dujone from?,['India'],,,,,,,,,,,,
2861,what is the language spoken in kumara sambhavam,['Malayalam'],,,,,,,,,,,,
2862,what sex is james twining,[nan],,,,,,,,,,,,
2863,where did warren white pass away,"['Little Rock, Arkansas']",,,,,,,,,,,,
2864,what is a gameplay mode featured on lego creator: knights' kingdom,['Single-player video game'],,,,,,,,,,,,
2865,where was joseph ryelandt born,['Bruges'],,,,,,,,,,,,
2866,What sex is Éder jofre?,[nan],,,,,,,,,,,,
2867,what is glenn davis's nationality?,"['Norfolk, Virginia']",,,,,,,,,,,,
2868,What is john elliott's gender?,[nan],,,,,,,,,,,,
2869,what is the place of birth of jan Švankmajer?,['Prague'],,,,,,,,,,,,
2870,Where did charles merivale die,[nan],,,,,,,,,,,,
2871,what series is the episode cocktails from,[nan],,,,,,,,,,,,
2872,What is the name of jacques chirac child,[nan],,,,,,,,,,,,
2873,What type of bridge is the rande bridge,['Cable-stayed bridge'],,,,,,,,,,,,
2874,Which genre is the album the aquabats! vs. the floating eye of death! from?,[nan],,,,,,,,,,,,
2875,Which city in mexico was clara de buen richkarday born in,['Mexico City'],,,,,,,,,,,,
2876,what album is by alternative rock?,['Again (Alice in Chains song)'],,,,,,,,,,,,
2877,Which football position does jacob lensky play,['Midfielder'],,,,,,,,,,,,
2878,What is the nationality of oscar mascorro?,['Ciudad Victoria'],,,,,,,,,,,,
2879,what's a film that dashiell hammett wrote,['After the Thin Man'],,,,,,,,,,,,
2880,where did the battle of oak grove take place,"['Henrico County, Virginia']",,,,,,,,,,,,
2881,which gender group does oscar kreuzer affiliate with,[nan],,,,,,,,,,,,
2882,who is the author of the dead of the night,[nan],,,,,,,,,,,,
2883,what television shows have paul norris created?,['Yank & Doodle'],,,,,,,,,,,,
2884,what position does sergei karimov play in soccer?,['Defender (association football)'],,,,,,,,,,,,
2885,what's the name of a battle that george armstrong custer participated in,['First Battle of Bull Run'],,,,,,,,,,,,
2886,Which military personnel was involved in world war i?,['202nd (2/1st Kent) Brigade'],,,,,,,,,,,,
2887,what position did paweł thomik play,['Midfielder'],,,,,,,,,,,,
2888,what is the name of a parent of jinggoy estrada,['Joseph Estrada'],,,,,,,,,,,,
2889,where was  lisa edelstein born,['Boston'],,,,,,,,,,,,
2890,Who edited the film titled spanglish (film),['Richard Marks'],,,,,,,,,,,,
2891,WHat genre is the wanted,[nan],,,,,,,,,,,,
2892,Who directed the film donald's cousin gus?,['Jack King (animator)'],,,,,,,,,,,,
2893,What is a movie that universal studios produced in 2012?,[nan],,,,,,,,,,,,
2894,what type of album is prowincja,[nan],,,,,,,,,,,,
2895,what movie was produced by fran drescher,['La Niñera (Argentine TV series)'],,,,,,,,,,,,
2896,what gender does james burke identify as?,[nan],,,,,,,,,,,,
2897,What is the gender of gaston bachelard,[nan],,,,,,,,,,,,
2898,what sex is raj singh chaudhary,[nan],,,,,,,,,,,,
2899,Is daria werbowy male or female,[nan],,,,,,,,,,,,
2900,is héctor andrés negroni male or female,[nan],,,,,,,,,,,,
2901,what is the strange case of mr pelham book about,['Suspense'],,,,,,,,,,,,
2902,What is shauna grant's profession?,['Model'],,,,,,,,,,,,
2903,Who did the music for the film i know who killed me?,['Joel McNeely'],,,,,,,,,,,,
2904,What is the genre of the videogame hyper v-ball,[nan],,,,,,,,,,,,
2905,where did dith pran pass away,"['New Brunswick, New Jersey']",,,,,,,,,,,,
2906,What is Kitty Bransfield's profession?,['Player'],,,,,,,,,,,,
2907,which position does séamus coleman play,['Defender (association football)'],,,,,,,,,,,,
2908,who is the American composer of the dead silence film,['Charlie Clouser'],,,,,,,,,,,,
2909,what's merl lindsay's sex,[nan],,,,,,,,,,,,
2910,what subset of punk music do the distillers write,['Punk rock'],,,,,,,,,,,,
2911,what was subramaniam srinivasan's place of death,['Chennai'],,,,,,,,,,,,
2912,What was a film that was directed by michael curtiz,['99 (1918 film)'],,,,,,,,,,,,
2913,what genre is the album ¡policia!: a tribute to the police,[nan],,,,,,,,,,,,
2914,who composed music for seed of chucky?,['Pino Donaggio'],,,,,,,,,,,,
2915,what gameplay mode does civilization iv: colonization offer,['Single-player video game'],,,,,,,,,,,,
2916,what is the occupation of len spencer,['Artist'],,,,,,,,,,,,
2917,what movie did sam katzman produce,['Adventures of Sir Galahad'],,,,,,,,,,,,
2918,what organization did sergey ilyushin found,['Ilyushin'],,,,,,,,,,,,
2919,Which gameplay mode does macross ace frontier use?,['Single-player video game'],,,,,,,,,,,,
2920,who is a known person that was born in  melbourne,['360 (rapper)'],,,,,,,,,,,,
2921,"Who directed ""Cheyenne Autumn""?",['John Ford'],,,,,,,,,,,,
2922,what music genre is it aint over?,[nan],,,,,,,,,,,,
2923,Which nation is charlotte caffey from?,[nan],,,,,,,,,,,,
2924,"Who was born in copiague, new york",['Hank Webb'],,,,,,,,,,,,
2925,What genre does the television program hawaii five-o belong to,['Series'],,,,,,,,,,,,
2926,where did thomas wharton jr. die,['United States'],,,,,,,,,,,,
2927,what is aymoré moreira's nationality,['Brazil'],,,,,,,,,,,,
2928,where is jeanne pruett from,"['Pell City, Alabama']",,,,,,,,,,,,
2929,WHo wrote the science of sleep,['Michel Gondry'],,,,,,,,,,,,
2930,what types of game is insane,[nan],,,,,,,,,,,,
2931,Who did the story for the film chukkallo chandrudu,['Kona Venkat'],,,,,,,,,,,,
2932,what was kaushal lokuarachchi's place of birth,['Ratnapura'],,,,,,,,,,,,
2933,what kind of album is live!?,[nan],,,,,,,,,,,,
2934,where was dan ekner born,['Gothenburg'],,,,,,,,,,,,
2935,Name an italian journalist born in pula,['Elvis Scoria'],,,,,,,,,,,,
2936,what county and state did samuel mudd originate from,"['Charles County, Maryland']",,,,,,,,,,,,
2937,where did esther rolle die?,"['Culver City, California']",,,,,,,,,,,,
2938,what gender is natalie tong?,[nan],,,,,,,,,,,,
2939,who created the character mortalla,[nan],,,,,,,,,,,,
2940,Where in the United States did herbert adams die,['New York City'],,,,,,,,,,,,
2941,What is inna gulaya's profession,['http://dbpedia.org/resource/Inna_Gulaya__PersonFunction__1'],,,,,,,,,,,,
2942,what is inky mark's gender,[nan],,,,,,,,,,,,
2943,Name an album by king crimson.,['King Crimson discography'],,,,,,,,,,,,
2944,what music label is regurgitator with?,['Reprise Records'],,,,,,,,,,,,
2945,Which famous football players were born in zemun,['Dragan Dojčin'],,,,,,,,,,,,
2946,What country filmed i dream of murder,['Canada'],,,,,,,,,,,,
2947,"What country was the film ""Yiddle With His Fiddle"" filmed in?",[nan],,,,,,,,,,,,
2948,where in canada was george r. ursul born?,[nan],,,,,,,,,,,,
2949,Where was rick stein born?,['England'],,,,,,,,,,,,
2950,what person was  born in new york city?,['6ix9ine'],,,,,,,,,,,,
2951,What position does Jerry Turner play?,['Outfielder'],,,,,,,,,,,,
2952,What is ben zyskowicz's gender,[nan],,,,,,,,,,,,
2953,who created the character lee child,['Jack Reacher'],,,,,,,,,,,,
2954,which nation is petre Țuțea with,['Romania'],,,,,,,,,,,,
2955,who was a famous person born in portland,['A. C. Green'],,,,,,,,,,,,
2956,what is the nationality of ralph jean-louis,['Au Cap'],,,,,,,,,,,,
2957,What artist is with RCA Records?,['2055 (song)'],,,,,,,,,,,,
2958,Who is a techno artist,['2 Unlimited'],,,,,,,,,,,,
2959,Name a person born in the the bronx.,['A. J. Wynder'],,,,,,,,,,,,
2960,what film was ingmar bergman a story contributor to?,['Music in Darkness'],,,,,,,,,,,,
2961,Who is a notable person that was born in boston,['Alex Karalexis'],,,,,,,,,,,,
2962,who directed the film vedham,['Arjun Sarja'],,,,,,,,,,,,
2963,what position does joe reed play?,[nan],,,,,,,,,,,,
2964,which film did john ford directed,['3 Bad Men'],,,,,,,,,,,,
2965,what was karl dönitz's place of death,['West Germany'],,,,,,,,,,,,
2966,What country is yoo seung-ho from,['Incheon'],,,,,,,,,,,,
2967,what is the name of katherine swynford's son,['Henry Beaufort'],,,,,,,,,,,,
2968,whose mother gave birth to them in london,['21 Savage'],,,,,,,,,,,,
2969,Where was john hainkel born?,[nan],,,,,,,,,,,,
2970,what sort of music is colloquio affiliated with,['Experimental music'],,,,,,,,,,,,
2971,what kind of music does roman candle (band) perform,['Indie rock'],,,,,,,,,,,,
2972,Who's the executive producer of twin town,[nan],,,,,,,,,,,,
2973,who wrote the book treasure island,['Robert Louis Stevenson'],,,,,,,,,,,,
2974,What is the sex of frederick william wallace?,[nan],,,,,,,,,,,,
2975,where did kaju sugiura die,[nan],,,,,,,,,,,,
2976,who is the writer of the last day of a condemned man,['Victor Hugo'],,,,,,,,,,,,
2977,which city did jacobus de voragine die,[nan],,,,,,,,,,,,
2978,where in Estonia was linnart mäll born?,[nan],,,,,,,,,,,,
2979,What is the gender of dave bassett,[nan],,,,,,,,,,,,
2980,Who directed the film kishen kanhaiya,['Rakesh Roshan'],,,,,,,,,,,,
2981,what city was edward s. curtis born in,"['Whitewater, Wisconsin']",,,,,,,,,,,,
2982,What polish footballer was born in warsaw?,['Andrzej Zahorski'],,,,,,,,,,,,
2983,who was the producer for the film  dead leaves,['Kaoru Mfaume'],,,,,,,,,,,,
2984,What country is nina söderquist from?,['Alfta'],,,,,,,,,,,,
2985,what film was produced by jules white?,['3 Dumb Clucks'],,,,,,,,,,,,
2986,What is joe kennedy's gender?,[nan],,,,,,,,,,,,
2987,name a player who played the baseball position second baseman.,['Al Cuccinello'],,,,,,,,,,,,
2988,who was born in greenock,['Andy Provan'],,,,,,,,,,,,
2989,What position does billy hoeft play in baseball,['Pitcher'],,,,,,,,,,,,
2990,Where was albert hull born?,"['Southington, Connecticut']",,,,,,,,,,,,
2991,what is a film directed by predrag antonijević,['Hard Cash (2002 film)'],,,,,,,,,,,,
2992,Name a professional actor.,['A. J. Bowen'],,,,,,,,,,,,
2993,what position does bryan kelly play in baseball,['Pitcher'],,,,,,,,,,,,
2994,Name a song from the muqaddar ka faisla film soundtrack,['Bappi Lahiri'],,,,,,,,,,,,
2995,what football player was born in singapore,['Choo Han Teck'],,,,,,,,,,,,
2996,what county is john hardin from,"['Hardin County, Kentucky']",,,,,,,,,,,,
2997,who composed the song the way we were?,['Alan and Marilyn Bergman'],,,,,,,,,,,,
2998,Who's a country musician from america,['21 Summer'],,,,,,,,,,,,
2999,Who is from south boston,['James E. Edmunds'],,,,,,,,,,,,
3000,where was daniel bekono originally from,['Cameroon'],,,,,,,,,,,,
3001,"what position does curtis marsh, jr. play?",[nan],,,,,,,,,,,,
3002,what type of architectural style does shingle style architecture use,['Montauk Association Historic District'],,,,,,,,,,,,
3003,where is shirantha goonatilake's death place,[nan],,,,,,,,,,,,
3004,what company is the invisible with?,['Ninja Tune'],,,,,,,,,,,,
3005,"Who was birthed in dickson city, pennsylvania",['Joe Glenn (baseball)'],,,,,,,,,,,,
3006,which position does maksym hramm play,['Midfielder'],,,,,,,,,,,,
3007,what is an example of moorish revival architecture?,['A. K. Smiley Public Library'],,,,,,,,,,,,
3008,what is the gender of salvatore bruno?,[nan],,,,,,,,,,,,
3009,what is luisa rossi's nationality,['Milan'],,,,,,,,,,,,
3010,who wrote t.m.i.,[nan],,,,,,,,,,,,
3011,what program was created by  charles m. schulz,"['What a Nightmare, Charlie Brown!']",,,,,,,,,,,,
3012,who is the developer of the videogame guitar hero: aerosmith?,['Neversoft'],,,,,,,,,,,,
3013,What position did choi chang-yong play,['Midfielder'],,,,,,,,,,,,
3014,What gender is Vesta Williams?,[nan],,,,,,,,,,,,
3015,What's a game from the series front mission,['Left Alive'],,,,,,,,,,,,
3016,which country did bob sherman die in,['England'],,,,,,,,,,,,
3017,What type of show is master swordsman lu xiaofeng 2?,['Wuxia'],,,,,,,,,,,,
3018,What country is cowan lake within,['Canada'],,,,,,,,,,,,
3019,what lyrics were written by howard ashman?,['Gaston (song)'],,,,,,,,,,,,
3020,where was osvaldo golijov born?,['La Plata'],,,,,,,,,,,,
3021,who developed sega soccer slam,['EA Black Box'],,,,,,,,,,,,
3022,Name a new wave music artist,['21st Century Boy'],,,,,,,,,,,,
3023,What is a game domark developed?,[nan],,,,,,,,,,,,
3024,where was  andrzej pałys born,['Poland'],,,,,,,,,,,,
3025,which european country is brighton and hove in,['United Kingdom'],,,,,,,,,,,,
3026,what type of game is lode runner,['Platform game'],,,,,,,,,,,,
3027,where is the location of mary eleanor wilkins freeman's death,[nan],,,,,,,,,,,,
3028,who plays the piano?,['A. J. Jackson'],,,,,,,,,,,,
3029,what types of game is plaque attack,['Shooter game'],,,,,,,,,,,,
3030,Name an actor.,['A. J. Bowen'],,,,,,,,,,,,
3031,What position does mike varty play,['Linebacker'],,,,,,,,,,,,
3032,What type of celestial object is 1389 onnie,['Asteroid'],,,,,,,,,,,,
3033,where in china did zhang juzheng die,[nan],,,,,,,,,,,,
3034,where was timothy drury born,[nan],,,,,,,,,,,,
3035,what gameplay modes are available for elasto mania,['Single-player video game'],,,,,,,,,,,,
3036,what film did gregg toland do the cinematography for,['Whoopee! (film)'],,,,,,,,,,,,
3037,Who put together the music for the movie dans les rues,[nan],,,,,,,,,,,,
3038,which gender is rudra mohammad shahidullah,[nan],,,,,,,,,,,,
3039,where did erik gustaf boström pass away,['Stockholm'],,,,,,,,,,,,
3040,What's a work by philip roth,['The Breast'],,,,,,,,,,,,
3041,where was johann christian kittel born,[nan],,,,,,,,,,,,
3042,what city used pacific time zone in Japan,"['4S Ranch, California']",,,,,,,,,,,,
3043,what is ion dragoumis known for,['Diplomat'],,,,,,,,,,,,
3044,what position did ben stephens play?,['Pitcher'],,,,,,,,,,,,
3045,What 1936 film did gregory la cava write?,['Bed of Roses (1933 film)'],,,,,,,,,,,,
3046,Which country did the program fireball xl5 originate in?,[nan],,,,,,,,,,,,
3047,What position does basketball player damien wilkins play?,['Small forward'],,,,,,,,,,,,
3048,What's a conflict that took place in washington county,['Battle of Harpers Ferry'],,,,,,,,,,,,
3049,what gender does poghos galstyan identify with,[nan],,,,,,,,,,,,
3050,What is the name of the city where walter bullock died?,[nan],,,,,,,,,,,,
3051,what language is spoken in inaam dus hazaar,['Hindi'],,,,,,,,,,,,
3052,Who is a novelist born in 1939?,['A. B. Yehoshua'],,,,,,,,,,,,
3053,Is abdul ghafoor ahmed a male or female,[nan],,,,,,,,,,,,
3054,"Who directed the cook, the thief, his wife & her lover?",['Peter Greenaway'],,,,,,,,,,,,
3055,in what language is the young nurses spoken,[nan],,,,,,,,,,,,
3056,what is located in the mountain time zone?,"['Mohave Valley, Arizona']",,,,,,,,,,,,
3057,what company produces penn & teller's smoke and mirrors,['Absolute Entertainment'],,,,,,,,,,,,
3058,Which country did the film mutharamkunnu p.o. come from,[nan],,,,,,,,,,,,
3059,which country created mercury,[nan],,,,,,,,,,,,
3060,what country is  ashgabat from,['Turkmenistan'],,,,,,,,,,,,
3061,who is a delta blues artist,['John Mooney (musician)'],,,,,,,,,,,,
3062,what is production company of the film barfly?,['American Zoetrope'],,,,,,,,,,,,
3063,"Who was born in kansas city, missouri?",['Bill Kelso'],,,,,,,,,,,,
3064,Where was matthew locke born?,[nan],,,,,,,,,,,,
3065,What film did vidhu vinod chopra produce?,['3 Idiots'],,,,,,,,,,,,
3066,Name a famous photographer,['Allan Sekula'],,,,,,,,,,,,
3067,what language is spoken in high school stories,['English language'],,,,,,,,,,,,
3068,which album has the artist boyd rice in it?,[nan],,,,,,,,,,,,
3069,where was lise lindbæk born,['Copenhagen'],,,,,,,,,,,,
3070,What country is meleş river in?,[nan],,,,,,,,,,,,
3071,Where did karel frederik wenckebach pass away?,['Vienna'],,,,,,,,,,,,
3072,what city did pyotr durnovo die in?,[nan],,,,,,,,,,,,
3073,who is bedlam directed by,[nan],,,,,,,,,,,,
3074,Who is a musician signed to columbia records?,['2021 (song)'],,,,,,,,,,,,
3075,what is spoken in a night in tuscany,['Italians'],,,,,,,,,,,,
3076,What profession does malcolm stuart boylan hold?,['Screenwriter'],,,,,,,,,,,,
3077,what is the sex of victor zotov,[nan],,,,,,,,,,,,
3078,what tv program is documentary film,['20th Century with Mike Wallace'],,,,,,,,,,,,
3079,"Who is a parent of charles v, holy roman emperor",['Joanna of Castile'],,,,,,,,,,,,
3080,Who was born in sombor?,['Aleksa Matić'],,,,,,,,,,,,
3081,"bago, negros occidental is an administrative division in which country?",['Philippines'],,,,,,,,,,,,
3082,What bridge goes over the industrial canal,['Seabrook Floodgate'],,,,,,,,,,,,
3083,what is tariq ibn ziyad's profession,['Commander'],,,,,,,,,,,,
3084,what is the position of football player zvjezdan cvetković,['Defender (association football)'],,,,,,,,,,,,
3085,what type of film is david magee,['Life of Pi (film)'],,,,,,,,,,,,
3086,What gender is santiago fusilier?,[nan],,,,,,,,,,,,
3087,which was chairul tanjung born,['Jakarta'],,,,,,,,,,,,
3088,which country does adalita srsen represent,[nan],,,,,,,,,,,,
3089,what types of book is the problem of the covered bridge,['Short story'],,,,,,,,,,,,
3090,what game is sony online entertainment make?,['Mortal Kombat II'],,,,,,,,,,,,
3091,Name one film in which robert wise is the director of,['A Game of Death'],,,,,,,,,,,,
3092,which country did alfredo kraus die in,[nan],,,,,,,,,,,,
3093,who was born in greenwich,['Wendy Bergen'],,,,,,,,,,,,
3094,which hawaiian city is brian gaskill's place of birth?,['Hawaii'],,,,,,,,,,,,
3095,where in california did  leo g. carroll die,['Hollywood'],,,,,,,,,,,,
3096,which album is of the soul music genre,['A Fool in Love'],,,,,,,,,,,,
3097,What is a work written by author agatha christie?,['Murder in Three Acts'],,,,,,,,,,,,
3098,who has interment in mount hope cemetery,['George B. Selden'],,,,,,,,,,,,
3099,what country is lassie from,['Ireland'],,,,,,,,,,,,
3100,what label are the butthole surfers signed to,['Surfdog Records'],,,,,,,,,,,,
3101,What kind of bridge is the john p. grace memorial bridge,['Cantilever bridge'],,,,,,,,,,,,
3102,What position does václav němeček play?,['Midfielder'],,,,,,,,,,,,
3103,who was born in bisbee,['Alice Notley'],,,,,,,,,,,,
3104,what military personnel was involved in  world war ii,['202nd Coastal Division (Italy)'],,,,,,,,,,,,
3105,Name a person who was born in poltava,['Moura Budberg'],,,,,,,,,,,,
3106,what type of disaster was the san juanico disaster?,[nan],,,,,,,,,,,,
3107,what is the house in new york that showcases queen anne style architecture,['27 Crocus Place'],,,,,,,,,,,,
3108,what films have james newton howard participated in?,['The Tourist (2010 film)'],,,,,,,,,,,,
3109,is george puttenham male or female,[nan],,,,,,,,,,,,
3110,Where was harry revel born?,['England'],,,,,,,,,,,,
3111,what is football position of jamal reynolds,['Defensive end'],,,,,,,,,,,,
3112,what is the profession of david heavener?,['Singer'],,,,,,,,,,,,
3113,Who is a notable person from davenport,['Aaron Kelly (singer)'],,,,,,,,,,,,
3114,whats the name of a rock music artist,['(One Glance Is) Holy'],,,,,,,,,,,,
3115,what position does john munyan play in baseball?,['Catcher'],,,,,,,,,,,,
3116,Name an experimental rock album.,['2AM (Bear Hands song)'],,,,,,,,,,,,
3117,which italian city did majorian die in,[nan],,,,,,,,,,,,
3118,name a pitcher,['A.J. Puckett'],,,,,,,,,,,,
3119,is highlights from the plugged nickel jazz or pop rock,[nan],,,,,,,,,,,,
3120,What position does jean-joël perrier-doumbé play?,['Defender (association football)'],,,,,,,,,,,,
3121,what is roy sinclair's possition,['Midfielder'],,,,,,,,,,,,
3122,What is a film that russell harlan did the cinematography for,['The Light of Western Stars (1940 film)'],,,,,,,,,,,,
3123,whats the name of a baseball player who plays as a  right fielder,['Bill Boyd (baseball)'],,,,,,,,,,,,
3124,what is the cover album by Japanese pop singer Ken Hirai,['Even If (Ken Hirai song)'],,,,,,,,,,,,
3125,What gender is timmy williams,[nan],,,,,,,,,,,,
3126,Who is a person born in manhattan,['Mollie Williams'],,,,,,,,,,,,
3127,What j-pop album was released by Ken Hirai?,['Bubble Trip/Sweet Sweet Song'],,,,,,,,,,,,
3128,in what time zone is pusztaederics located,['Central European Summer Time'],,,,,,,,,,,,
3129,Who directed thief,['Michael Mann'],,,,,,,,,,,,
3130,What is the title of an album by artist stroke 9?,['Kick Some Ass'],,,,,,,,,,,,
3131,what games have been published by microsoft studios?,[nan],,,,,,,,,,,,
3132,what do the actors in a new day in old sanaa speak,['Arabic'],,,,,,,,,,,,
3133,who is the indie rock guitarist for Idlewild?,['3D Friends'],,,,,,,,,,,,
3134,where did john wycliffe die?,['Lutterworth'],,,,,,,,,,,,
3135,which author was born in bridgewater township?,['Rob Bunker'],,,,,,,,,,,,
3136,what film did edward burns produce,['Ash Wednesday (2002 film)'],,,,,,,,,,,,
3137,who wrote come on danger!,[nan],,,,,,,,,,,,
3138,Which gender is emil bessels,[nan],,,,,,,,,,,,
3139,what's the first episode of the fifth season of deja vu (the outer limits),[nan],,,,,,,,,,,,
3140,which country is laguna de bay in,['Philippines'],,,,,,,,,,,,
3141,what is eulalie spence's profession,['Writer'],,,,,,,,,,,,
3142,where did nikolai efimov die,[nan],,,,,,,,,,,,
3143,which basketball position does hilton armstrong play,['Center (basketball)'],,,,,,,,,,,,
3144,Where did hillevi rombin die,['Los Angeles'],,,,,,,,,,,,
3145,Which county was mike ingham born?,['Cheshire'],,,,,,,,,,,,
3146,What is israel horovitz's profession,['Playwright'],,,,,,,,,,,,
3147,Where was Chris Young born?,[nan],,,,,,,,,,,,
3148,who is a famous football striker born in durham,['Warren Hawke'],,,,,,,,,,,,
3149,What is the gender of Art Donovan?,[nan],,,,,,,,,,,,
3150,what is an instrument played by carl jackson,['Banjo'],,,,,,,,,,,,
3151,What country is the movie dil chahta hai from,[nan],,,,,,,,,,,,
3152,where was dejuan tribble born,"['North College Hill, Ohio']",,,,,,,,,,,,
3153,Who was a writer for the episode the forgotten,[nan],,,,,,,,,,,,
3154,what is pavel argeyev's gender,[nan],,,,,,,,,,,,
3155,what kind of music is on bo diddley?,[nan],,,,,,,,,,,,
3156,who is blake griffin,['Player'],,,,,,,,,,,,
3157,what instrument does ashwin sood play?,['Percussion instrument'],,,,,,,,,,,,
3158,what football position does dorin dickerson play at?,[nan],,,,,,,,,,,,
3159,where was lee bollinger born,"['Santa Rosa, California']",,,,,,,,,,,,
3160,Who wrote the lyrics for government hooker?,['Lady Gaga'],,,,,,,,,,,,
3161,What kind of music is rockin into the night,[nan],,,,,,,,,,,,
3162,What gender is melvin jenkins,[nan],,,,,,,,,,,,
3163,duck rock was an album that was labeled into this genre of music.,[nan],,,,,,,,,,,,
3164,where was wash westmoreland born?,[nan],,,,,,,,,,,,
3165,Is ranavalona iii a man or a woman,[nan],,,,,,,,,,,,
3166,what position does júnior morales play,['Goalkeeper (association football)'],,,,,,,,,,,,
3167,what is kari rajamäki's country of nationality,['Finland'],,,,,,,,,,,,
3168,what genre is family ties?,['Sitcom'],,,,,,,,,,,,
3169,where in california did  jimmie adams die,"['Glendale, California']",,,,,,,,,,,,
3170,What is joe carey's gender,[nan],,,,,,,,,,,,
3171,What country filmed redemption maddie,[nan],,,,,,,,,,,,
3172,what is kelly knox's gender,[nan],,,,,,,,,,,,
3173,What country is the mind of the married man from,['United States'],,,,,,,,,,,,
3174,What city die mark m. fagan pass away in?,[nan],,,,,,,,,,,,
3175,what is the gender of james l. conway,[nan],,,,,,,,,,,,
3176,what constellation is hd 102117 a part of?,['Centaurus'],,,,,,,,,,,,
3177,in what language is the film archangel,[nan],,,,,,,,,,,,
3178,What kind of gameplay does bomberman jetters have,['Single-player video game'],,,,,,,,,,,,
3179,What genre of music does the artist collin raye produce?,['Country music'],,,,,,,,,,,,
3180,Name a male.,[nan],,,,,,,,,,,,
3181,Where did normie roy die in new hampshire,"['Nashua, New Hampshire']",,,,,,,,,,,,
3182,what is the position that lynn myers played?,['Shortstop'],,,,,,,,,,,,
3183,what position does david sinclair play in soccer?,['Midfielder'],,,,,,,,,,,,
3184,what philosopher was born in new york city,['6ix9ine'],,,,,,,,,,,,
3185,which music was used in mr. belvedere goes to college,['Alfred Newman (composer)'],,,,,,,,,,,,
3186,who is the child of morphia of melitene,['Hodierna of Jerusalem'],,,,,,,,,,,,
3187,Who directed the invisible mouse,[nan],,,,,,,,,,,,
3188,what is madri's sex?,[nan],,,,,,,,,,,,
3189,which instrumentalist plays the guitar,['A. C. Newman'],,,,,,,,,,,,
3190,where was lyn collingwood born?,['Sydney'],,,,,,,,,,,,
3191,What filmmaker was born in rio de janeiro?,['Ademar Braga (football manager)'],,,,,,,,,,,,
3192,where did frederick louis of württemberg-winnental die,[nan],,,,,,,,,,,,
3193,what author penned the book dumbing us down,['John Taylor Gatto'],,,,,,,,,,,,
3194,An example of a alternative metal artist would be who?,['1000 Miles (Grinspoon song)'],,,,,,,,,,,,
3195,Name a rock album by David Bowie,['(One Glance Is) Holy'],,,,,,,,,,,,
3196,what is the nationality of guri schanke?,['Oslo'],,,,,,,,,,,,
3197,which soccer position is played by oh seung-bum,['Midfielder'],,,,,,,,,,,,
3198,who did cinematography for jersey girl,['Vilmos Zsigmond'],,,,,,,,,,,,
3199,Who wrote the turkish passion?,['Vicente Aranda'],,,,,,,,,,,,
3200,what science fiction fantasy comedy film was created by dan aykroyd,['Dragnet (1987 film)'],,,,,,,,,,,,
3201,What language is the film saigon electric in?,['Vietnamese people'],,,,,,,,,,,,
3202,What is the gender of darren jarman?,[nan],,,,,,,,,,,,
3203,Where is the movie el greco from,['Spain'],,,,,,,,,,,,
3204,what films did jeannot szwarc direct,['Enigma (1982 film)'],,,,,,,,,,,,
3205,what is an example of a fantasy book,['Bone Dance'],,,,,,,,,,,,
3206,who is guru gobind singh's child?,[nan],,,,,,,,,,,,
3207,"who wrote \\""master harold\\""...and the boys?",['Athol Fugard'],,,,,,,,,,,,
3208,what city did david hawthorne die in,['London'],,,,,,,,,,,,
3209,where was bjarne corydon born?,['Denmark'],,,,,,,,,,,,
3210,which war did darius n. couch play a role in,['American Civil War'],,,,,,,,,,,,
3211,Who is a parent of rosemary kennedy,['Joseph P. Kennedy Sr.'],,,,,,,,,,,,
3212,Who is a female artist signed to bna records?,['Bonfire (Craig Morgan song)'],,,,,,,,,,,,
3213,what did john w. minick participate in?,['World War II'],,,,,,,,,,,,
3214,which production company filmed magician mickey,['The Walt Disney Company'],,,,,,,,,,,,
3215,What kind of metal is played on excalibur,[nan],,,,,,,,,,,,
3216,What film was karl freund a cinematographer for?,['Montana (1950 film)'],,,,,,,,,,,,
3217,what offensive position does dominic samuel play,[nan],,,,,,,,,,,,
3218,Who was the director for the film middle of nowhere?,['John Stockwell (actor)'],,,,,,,,,,,,
3219,what architectural style is used in ely cathedral,['English Gothic architecture'],,,,,,,,,,,,
3220,What kind of video game is scaler,[nan],,,,,,,,,,,,
3221,What kind of music is featured on dream with dean,[nan],,,,,,,,,,,,
3222,which state did oscar dunn die,['Louisiana'],,,,,,,,,,,,
3223,who wrote aliens ate my homework,['Bruce Coville'],,,,,,,,,,,,
3224,Is sergio llull a man or woman?,[nan],,,,,,,,,,,,
3225,What genre of book is american beauty,['Novel'],,,,,,,,,,,,
3226,Who was born in tokyo?,['Airi Suzuki (violinist)'],,,,,,,,,,,,
3227,what is a memoir book?,['Bone Black: Memories of Girlhood'],,,,,,,,,,,,
3228,Which position in baseball does jeff rineer play,['Pitcher'],,,,,,,,,,,,
3229,what label signed zendee rose tenerefe,[nan],,,,,,,,,,,,
3230,who is the director for go west?,['Buster Keaton'],,,,,,,,,,,,
