"Question";"First 3 Words";"Last 3 Words"
"What is the awards won by the producer of From the Life of the Marionettes ?";"What is the";" the Marionettes ?"
"How many dishes are made with an ingredient belonging to the flowering plant species?";"How many dishes";" flowering plant species?"
"Name the members of youth clubs which have Camp Nou as their homeground.";"Name the members";" as their homeground."
"Count the number of families of the Animal kingdom.";"Count the number";" the Animal kingdom."
"Give me the places where people who worked in Church of England died in?";"Give me the";" England died in?"
"What is the highschool of the american football player who joined the Robert Morris Colonials program?";"What is the";" Morris Colonials program?"
"Name the movie with narrator as Trevor Peacock and music composer as Christophe Beck.";"Name the movie";" as Christophe Beck."
"Name the fictional character painted by Josh Friedman and portrayed in Terminator Genisys ?";"Name the fictional";" Terminator Genisys ?"
"In how many different places can I find companies which were founded in toronto?";"In how many";" founded in toronto?"
"What location country of AH141 is also the nation of malaysia Junior hockey league?";"What location country";" Junior hockey league?"
"What city has the football team in which Lee Robinson debuted?";"What city has";" Lee Robinson debuted?"
"Was Heinrich Himmler ever a commanders of Army Group Oberrhein?";"Was Heinrich Himmler";" Army Group Oberrhein?"
"Which television show is based in Massachusetts and has opening theme as ""Where Everybody Knows Your Name"" ?";"Which television show";" Your Name"" ?"
"How many organizations own the website to which Jimmy Wales contributes?";"How many organizations";" Jimmy Wales contributes?"
"What television shows are distributed by Broadcast syndication?";"What television shows";" by Broadcast syndication?"
"Did Alexander Magleby study at the Dartmouth College?";"Did Alexander Magleby";" the Dartmouth College?"
"Who are the maintainers of the bridges which cross the pandaruan river?";"Who are the";" the pandaruan river?"
"List all the schools of the rugby player who went to school named Pietermaritzburg ?";"List all the";" named Pietermaritzburg ?"
"Which ethnicity do Linda Hogan and Riley Reid come from?";"Which ethnicity do";" Reid come from?"
"Which city located on Mediterranean Sea is also the stadium of Panionios G.S.S. season ?";"Which city located";" G.S.S. season ?"
"In which series do I find Minbari species' characters?";"In which series";" Minbari species' characters?"
"What provides the services of Nintendo eShop and Nintendo Network?";"What provides the";" and Nintendo Network?"
"Those seasons which have been played in Fort Lauderdale Florida now host their games where?";"Those seasons which";" their games where?"
"What is the municipality of the Homestead Grays Bridge and Roberto Clemente Bridge?";"What is the";" Roberto Clemente Bridge?"
"For which teams did Ryan Powell play for?";"For which teams";" Powell play for?"
"Which company has developed games whose music is done by Gerard Marino?";"Which company has";" by Gerard Marino?"
"Which driver had the pole position in 1994 Spanish Grand Prix?";"Which driver had";" Spanish Grand Prix?"
"What is the political party of the Satish Kumar Sharma which is also the political party of Manthena Venkata Raju?";"What is the";" Manthena Venkata Raju?"
"What are the airlines whose hub airport is operated by the Los Angeles World Airports?";"What are the";" Angeles World Airports?"
"Which official residence of hugh Scott is also the origin of Long Rifle ?";"Which official residence";" Long Rifle ?"
"How many albums did the maker of The Band produce?";"How many albums";" The Band produce?"
"Spanish harlem incident was composed by whom ?";"Spanish harlem incident";" by whom ?"
"Who operates twin Cities 400 ?";"Who operates twin";" Cities 400 ?"
"Is Eddie Bravo the trainer of Alan Jouban";"Is Eddie Bravo";" of Alan Jouban"
"Name the mountain which belongs to Sierra Nevada range and is located in Inyo National Forest?";"Name the mountain";" Inyo National Forest?"
"What is the POD of the successor of Pmare I?";"What is the";" of Pmare I?"
"What royalties's sepulchre is Mausoleum of Augustus?";"What royalties's sepulchre";" Mausoleum of Augustus?"
"What is the home town of the musical artist who is the current members of Slapstick?";"What is the";" members of Slapstick?"
"What is the alma mater of the person, whose child is Samuel Moreno Rojas?";"What is the";" Samuel Moreno Rojas?"
"Name the sea located near Europe and has a nearby city as Rostock ?";"Name the sea";" as Rostock ?"
"What is the total number of other tenant of the stadia whose one of the tenant is Raptors 905?";"What is the";" is Raptors 905?"
"Which river's source country is Zambia and mouth country is Mozambique?";"Which river's source";" country is Mozambique?"
"Who is married to a Miss Louisiana, USA?";"Who is married";" Miss Louisiana, USA?"
"Name everyone working for a company owned by Roman Abramovich.";"Name everyone working";" by Roman Abramovich."
"In how many regions is the Baco Noir made?";"In how many";" Baco Noir made?"
"Count the awards won by the people who graduated from the National and Kapodistrian University of Athens.";"Count the awards";" University of Athens."
"Who is the head coach of the teams in Middlesbrough FC?";"Who is the";" in Middlesbrough FC?"
"Who directed the albums recorded in Anaheim?";"Who directed the";" recorded in Anaheim?"
"Where does the jurisdiction of European Border and Coast Guard fall?";"Where does the";" Coast Guard fall?"
"List the Swedish newspaper headquarted in Stockholm ?";"List the Swedish";" in Stockholm ?"
"How many different mascots are there of the NCAA teams?";"How many different";" the NCAA teams?"
"What is the home town of the Band which is the previous work of Sammy Hagar & Friends ?";"What is the";" & Friends ?"
"Who is the scientist whose doctoral student is Erich Bagge?";"Who is the";" is Erich Bagge?"
"Eric roth wrote how many screenplays?";"Eric roth wrote";" how many screenplays?"
"Name all the doctoral student of the scientist who also supervised Mary Ainsworth ?";"Name all the";" Mary Ainsworth ?"
"What genre's software are released with a GNU GPL license?";"What genre's software";" GNU GPL license?"
"Was Love Hurts in Short Cut Draw Blood?";"Was Love Hurts";" Cut Draw Blood?"
"Stockholm is the HQ of how many things?";"Stockholm is the";" how many things?"
"What is the parent company of company which owns Sony Bank?";"What is the";" owns Sony Bank?"
"Does the asiana airlines fly into the Gimhae International Airport?";"Does the asiana";" Gimhae International Airport?"
"Was Gumus TV series first aired in Albania?";"Was Gumus TV";" aired in Albania?"
"Where can I find companies which originated in Canada?";"Where can I";" originated in Canada?"
"Who is the parent of FD Roosevelt JR?";"Who is the";" FD Roosevelt JR?"
"What is the place of birth of Lauren Briggs?";"What is the";" of Lauren Briggs?"
"Name a fictional character whose relative is Uncle Henry and species is Human?";"Name a fictional";" species is Human?"
"Name the basketball team which is coached by Louis Dunbar and has president as Jeff Munn ?";"Name the basketball";" Jeff Munn ?"
"What is the venue of Indy PopCon ?";"What is the";" Indy PopCon ?"
"Which maintainer of Cheasty Boulevard South is also the city of Soccer Bowl' 76 ?";"Which maintainer of";" Bowl' 76 ?"
"Which sports are played at institues in Taguig?";"Which sports are";" institues in Taguig?"
"Name some people who are buried in a place governed by the US Department of the Interior?";"Name some people";" of the Interior?"
"Which movies did Mark Steven edit?";"Which movies did";" Mark Steven edit?"
"Which Monty Python's movie is distributed by Cinema International Corporation ?";"Which Monty Python's";" International Corporation ?"
"Who are the spouse of the parents of Kimberly Stewart?";"Who are the";" of Kimberly Stewart?"
"What are the television shows whose network's successor is BBC Two?";"What are the";" is BBC Two?"
"Which awards have been given to people who fought in the Battle of France?";"Which awards have";" Battle of France?"
"For which team did both Butch Metzger and Brian Horwitz debuted ?";"For which team";" Horwitz debuted ?"
"Count the number of sports played by the universities which also plays Volleyball?";"Count the number";" also plays Volleyball?"
"Which key person of the Clinton Foundation is also the president of Edward J. Perkins ?";"Which key person";" J. Perkins ?"
"Which country's national motto is ""Truth prevails""?";"Which country's national";" is ""Truth prevails""?"
"Name the wine regions of Bogdanua ?";"Name the wine";" of Bogdanua ?"
"List the notable work of David Isaacs?";"List the notable";" of David Isaacs?"
"What river originates in the Connecticut Lakes?";"What river originates";" the Connecticut Lakes?"
"Whose successors are Robert P. Smith and Adrian A. Basora?";"Whose successors are";" Adrian A. Basora?"
"Who is the person whose opponent's father is Newman Haynes Clanton?";"Who is the";" Newman Haynes Clanton?"
"Pennsylvania has how many american football teams?";"Pennsylvania has how";" american football teams?"
"Is Julia Gillard the prime minister of Kate Lundy?";"Is Julia Gillard";" of Kate Lundy?"
"What is the type of Vesak?";"What is the";" type of Vesak?"
"Which home stadium of 2011-12 FC Spartak Moscow season is also the location of birth of the Svetlana Gounkina ?";"Which home stadium";" Svetlana Gounkina ?"
"What ingredients are used in preparing the dish of Ragout fin?";"What ingredients are";" of Ragout fin?"
"What prizes have been awarded to the relatives of Linn Ullmann?";"What prizes have";" of Linn Ullmann?"
"Which writer is famous for works written by Neil Gaiman?";"Which writer is";" by Neil Gaiman?"
"What are some relatives of Battle of the Bulge veterans?";"What are some";" the Bulge veterans?"
"Who is a successor of Kingship whose parent was Julius Caesar?";"Who is a";" was Julius Caesar?"
"Return some players who have played in the NBA?";"Return some players";" in the NBA?"
"What are the awards received by the spouse of Ellen Lundstrom?";"What are the";" of Ellen Lundstrom?"
"What is the local authority of the Buckhurst Hill County High School is also the birth palce of Sarah hampion ?";"What is the";" Sarah hampion ?"
"Does Massimo Liverani play for Abarth?";"Does Massimo Liverani";" play for Abarth?"
"Name the music artist which collaborated with the spouse of Jessi Colter?";"Name the music";" of Jessi Colter?"
"After the death of which political figure, did the Coalition Provisional Authority came into power?";"After the death";" came into power?"
"What sport played in Polytechnic uni of San Juan has also made advocate nasiruddin famous?";"What sport played";" advocate nasiruddin famous?"
"List the guests of On Broadway ?";"List the guests";" On Broadway ?"
"Where do the judge advocate general corps live?";"Where do the";" general corps live?"
"Who composed songs in the Mr Tambourine Man album?";"Who composed songs";" Tambourine Man album?"
"What is the hometown of the residents of Martha's vineyards?";"What is the";" of Martha's vineyards?"
"Who is the incumbent of Al Gore presidential campaign of 2000 ?";"Who is the";" of 2000 ?"
"What is the common affiliation of the Monroe Carell Jr. Children's Hospital at Vanderbilt and alma mater of the Duncan U. Fletcher?";"What is the";" Duncan U. Fletcher?"
"To which persons is Ron Cyrus a relative?";"To which persons";" Cyrus a relative?"
"Name the scientist who become the part of Royal Society and had academic advisor as Karl Ewald Hasse?";"Name the scientist";" Karl Ewald Hasse?"
"Was Neil Armstrong on the Gemini 8 mission?";"Was Neil Armstrong";" Gemini 8 mission?"
"Which technological products were manufactured by Foxconn?";"Which technological products";" manufactured by Foxconn?"
"Which stadium's operator works in the Pepsi Center?";"Which stadium's operator";" the Pepsi Center?"
"In which university did Harlan Mathews study, where Richard Meriil Atkinson went too?";"In which university";" Atkinson went too?"
"What is the state of the settlement, which is the sub assembly of Mohamedia, Tunisia ?";"What is the";" Mohamedia, Tunisia ?"
"Which televion show's theme music was given by Ron Grainer and is broadcasted by BBC HD?";"Which televion show's";" by BBC HD?"
"Give the name of the river with source place as Australian Alps and has mouth place as Goolwa , a place in Siyuth Australia ?";"Give the name";" Siyuth Australia ?"
"Does Mr. Jim's Pizza operate in the pizza industry?";"Does Mr. Jim's";" the pizza industry?"
"Who is the former partner of the figure skater which was the former partner of Brynn Carman?";"Who is the";" of Brynn Carman?"
"Was Ne Daj Se, Nina first aired in Croatia?";"Was Ne Daj";" aired in Croatia?"
"Count all the Colonels?";"Count all the";" all the Colonels?"
"What sports are played in schools where Swahili is the official language?";"What sports are";" the official language?"
"What is the sea connected to Kaliningrad and Gdask?";"What is the";" Kaliningrad and Gdask?"
"Which researchers received fellowship from Royal Society?";"Which researchers received";" from Royal Society?"
"Is coffee a main ingredient of Hopje?";"Is coffee a";" ingredient of Hopje?"
"Name the architect of Marine Corps Air Station Kaneohe Bay ?";"Name the architect";" Kaneohe Bay ?"
"Which tv series have a score composed by judy hard angelo?";"Which tv series";" judy hard angelo?"
"Which artist was taught by Jos Ruiz y Blasco?";"Which artist was";" Ruiz y Blasco?"
"How many people live in the Beverly Hills, California?";"How many people";" Beverly Hills, California?"
"List the comic characters created by Joe Shuster?";"List the comic";" by Joe Shuster?"
"List the base currency of the country whose anthem is Oj, svijetla majska zoro.";"List the base";" svijetla majska zoro."
"What are the television shows whose network is Prime Time Entertainment Network?";"What are the";" Time Entertainment Network?"
"Where did the war take place where one of the commander was Zuo Zongtang?";"Where did the";" was Zuo Zongtang?"
"What are some games availible on nintendo's virtual console?";"What are some";" nintendo's virtual console?"
"What are some common ingredients used in Swedish dishes?";"What are some";" in Swedish dishes?"
"Who has Saint Joseph and Mary as parents?";"Who has Saint";" Mary as parents?"
"Which models were featured in Playboy Playmates 1954?";"Which models were";" Playboy Playmates 1954?"
"Which state does Jerome B. Chaffee belong ?";"Which state does";" Chaffee belong ?"
"What is the drafted team of the people expected to join toronto marlies?";"What is the";" join toronto marlies?"
"What was the language of the single which came before To Know Him Is to Love Him?";"What was the";" to Love Him?"
"How many players debuted their careers from San Francisco 49ers?";"How many players";" San Francisco 49ers?"
"Where does the river end which starts in Richmond Park?";"Where does the";" in Richmond Park?"
"List the services provided by the company which provides Microsoft azure as one of the service ?";"List the services";" the service ?"
"Who edited Easy street ?";"Who edited Easy";" Easy street ?"
"Give me a count on scientist who are known for garrison is Tennessee ?";"Give me a";" is Tennessee ?"
"Who founded the Not on our Watch?";"Who founded the";" on our Watch?"
"How many items belong to the science fiction genre?";"How many items";" science fiction genre?"
"What is the product of the BBC Multimedia and is the theme of Visions, the convention?";"What is the";" Visions, the convention?"
"Name the first driver of 1999 San Marino Grand Prix ?";"Name the first";" Grand Prix ?"
"List the name of the soccer clubs whose chairman is Joan Laporta.";"List the name";" is Joan Laporta."
"List all the bands which have members of the band Guy in them?";"List all the";" Guy in them?"
"Which city has radio stations which are Religious ?";"Which city has";" are Religious ?"
"Which country of Montanas Mayas Chiquibul is the birth place of Jos Bernardo Escobar?";"Which country of";" Jos Bernardo Escobar?"
"What is the river whose mouth is in deadsea?";"What is the";" is in deadsea?"
"Did Phillippe Cabot go to Columbia for studying?";"Did Phillippe Cabot";" Columbia for studying?"
"Who is the appointer of Earl B. Ruth ?";"Who is the";" B. Ruth ?"
"Which religion is prevalent in the schools of the Ashanti region?";"Which religion is";" the Ashanti region?"
"To which country do the players of Waitakere United belong?";"To which country";" Waitakere United belong?"
"How many railway lines go through the station maintained by Public transport authority of western australia?";"How many railway";" of western australia?"
"What is the debut team of the american football player who studied in North Fort Myers High School?";"What is the";" Myers High School?"
"For how many different teams have the players debuted in Houston Astros played?";"For how many";" Houston Astros played?"
"Was Queen Latifah in the UNITY group?";"Was Queen Latifah";" the UNITY group?"
"Who are the parents of  Charles Phelps Taft II and Robert A. Taft?";"Who are the";" Robert A. Taft?"
"Sentinel High School team is known as?";"Sentinel High School";" is known as?"
"What is the band with previous members  Kevin Jonas and Joe Jonas?";"What is the";" and Joe Jonas?"
"What are some movies whose distributor's CEO is Ted Hartley?";"What are some";" is Ted Hartley?"
"Who manufactured the Delta III and the Space Shuttle?";"Who manufactured the";" the Space Shuttle?"
"List the associated musical artist of the current members of Al Bano and Romina Power?";"List the associated";" and Romina Power?"
"What is the academic journal whose editor is Stephen Law?";"What is the";" is Stephen Law?"
"Name the language of I Love How You Love Me ?";"Name the language";" Love Me ?"
"Where was William anthony trained ?";"Where was William";" anthony trained ?"
"List the people who were born in Gelnhausen and graduated from Pepperdine University?";"List the people";" from Pepperdine University?"
"Name the TV show whose producer is Stephen E. Ambrose and company is HBO ?";"Name the TV";" is HBO ?"
"For everyone who died in paris, count their different fields of work.";"For everyone who";" fields of work."
"Which appointer of the Joseph Clay (Georgia) is also the President of the William Carmichael (diplomat) ?";"Which appointer of";" Carmichael (diplomat) ?"
"CN Atletic-Barceloneta has a stadium in Barcelona?";"CN Atletic-Barceloneta has";" stadium in Barcelona?"
"What actor starred in Splash and is married to Rita Wilson?";"What actor starred";" to Rita Wilson?"
"Name the common record label of I pray on Christmas and Next Thing ?";"Name the common";" Next Thing ?"
"Count the total number  of hometown of the gymnasts whose one of the hometown in Russia ?";"Count the total";" in Russia ?"
"God Defend New Zealand is the national anthem of which country?";"God Defend New";" of which country?"
"In how many places can I find people whose alma mater was in bachelor of arts?";"In how many";" bachelor of arts?"
"Name the are where South side Elevated Railroad operate and has place of birth as Arthur A. Ross ?";"Name the are";" A. Ross ?"
"Is KOMC-FM the sister station of KOMC (AM)?";"Is KOMC-FM the";" of KOMC (AM)?"
"How many parties have come in power in elections where Y. S. Rajasekhara Reddy won?";"How many parties";" Rajasekhara Reddy won?"
"Count the  area of the radio stations whose serves in South Carolina ?";"Count the ";" South Carolina ?"
"What are the awards won by the parent of Daniel Bergmans?";"What are the";" of Daniel Bergmans?"
"Whose famous works are Maniac Magee and Wringer ?";"Whose famous works";" and Wringer ?"
"Who does Cam PLante plays for ?";"Who does Cam";" plays for ?"
"How many albums were released under the Victor Entertainment label?";"How many albums";" Victor Entertainment label?"
"Who is the common manager of Aston Villa 2000-01 season and also the manager of Middlesbrough F.C. season 2009-10";"Who is the";" F.C. season 2009-10"
"Name the officeholder who hasa child named Augustus and has an associate named Marcus Bibulus ?";"Name the officeholder";" Marcus Bibulus ?"
"How many people are in the militia?";"How many people";" in the militia?"
"In which countries does the sea lie on whose shore is the city of Cumana?";"In which countries";" city of Cumana?"
"To which party do the politicians who died in Delhi belong?";"To which party";" in Delhi belong?"
"Count the number of actors in Lucy Sullivan Is Getting Married.";"Count the number";" Is Getting Married."
"Where were sverre krogh sundbo and havard vad petersson born?";"Where were sverre";" vad petersson born?"
"What sports can be played in institutions in Bataan?";"What sports can";" institutions in Bataan?"
"Is Dave Schulz a band member of Berlin?";"Is Dave Schulz";" member of Berlin?"
"List the major shrines of Jovan Vladimir?";"List the major";" of Jovan Vladimir?"
"For how many things are people famous, who were born in Nebraska?";"For how many";" born in Nebraska?"
"Who is known for are Battle of the Thames and War of 1812?";"Who is known";" War of 1812?"
"Count the number of people who graduated from universities affiliated with the NCAA.";"Count the number";" with the NCAA."
"What is the award won of the scientists known for Cubic Hermite spline?";"What is the";" Cubic Hermite spline?"
"Which high school of Jerry Tagge was also the place where Temptation Waits was recorded?";"Which high school";" Waits was recorded?"
"Which city's teams have been coached by Gary Kubaik?";"Which city's teams";" by Gary Kubaik?"
"Which country is the birth place of Marcus Samuelsson and Samuel of Waldebba ?";"Which country is";" of Waldebba ?"
"Name the musical band of Written in the Stars?";"Name the musical";" in the Stars?"
"What is the common ethnicity of the Maike Evers and Francisco Lachowski ?";"What is the";" Francisco Lachowski ?"
"In which country does the Auckland rugby union team play?";"In which country";" union team play?"
"Which arena of WPC Dynamo Moscow is the death palce of Mikhail Voronin ?";"Which arena of";" Mikhail Voronin ?"
"For a position in which institution were both Jack Ryan and Robert sarvis both appointed?";"For a position";" sarvis both appointed?"
"In all the places with a stagecoach, where is a Peetz Table Wind Energy Center located too?";"In all the";" Center located too?"
"Who is the successor of McDonnell Douglas?";"Who is the";" of McDonnell Douglas?"
"List the alma mater of the congressmen who attended Nashville, Tennessee ?";"List the alma";" Nashville, Tennessee ?"
"Name the city of Phil-Ellena ?";"Name the city";" of Phil-Ellena ?"
"What is the local authority of Liverpool Institute High School for Boys?";"What is the";" School for Boys?"
"In how many places are the tombs of people who died in Connecticut Colony?";"In how many";" in Connecticut Colony?"
"Which american football team has stadium as O.co Coliseum?";"Which american football";" as O.co Coliseum?"
"What is the political party of the daughter of Jawaharlal Nehru ?";"What is the";" Jawaharlal Nehru ?"
"What is the serving railway line of Warwick railway station, Perth ?";"What is the";" station, Perth ?"
"What award was won by the executive producer of Shaun the Sheep?";"What award was";" Shaun the Sheep?"
"How many cars are similar to the ones assembled in the Jefferson North Assembly?";"How many cars";" Jefferson North Assembly?"
"Count the units garrisoned at Arlington County, Virginia.";"Count the units";" Arlington County, Virginia."
"Which incumbent of Al Gore presidential campaign was also the president of Mike McCurry ?";"Which incumbent of";" Mike McCurry ?"
"What are some gymnasts coached by Amanda Reddin?";"What are some";" by Amanda Reddin?"
"How many other schools are there of the rugby players whose school is Michaelhouse ?";"How many other";" is Michaelhouse ?"
"What is the agency name of the Ministry of Information and Communication Technology (Thailand) and distribution region of the Channel 9 MCOT HD ?";"What is the";" MCOT HD ?"
"Whihc associate of THomas Bryan Martin is also the founder of Pittsburgh ?";"Whihc associate of";" of Pittsburgh ?"
"Name the religious affiliation of Vagif Aliyev ?";"Name the religious";" Vagif Aliyev ?"
"What is the operator of SR class 3Sub ?";"What is the";" class 3Sub ?"
"Where was Thomy Bourdelle born?";"Where was Thomy";" Thomy Bourdelle born?"
"In which of the parties that have governed over Rishikesh, does Govinda belong too?";"In which of";" Govinda belong too?"
"Janaka Thissakuttiarachchi follows what religion, which once employed Atisa Srijnana too?";"Janaka Thissakuttiarachchi follows";" Atisa Srijnana too?"
"Name the movie written by Monty Python and has music composer as Geoffrey Burgon?";"Name the movie";" as Geoffrey Burgon?"
"Does mumbai manage the railway line going to the daund railway junction?";"Does mumbai manage";" daund railway junction?"
"What are some musicians who have worked with Dean Ambrose?";"What are some";" with Dean Ambrose?"
"What are some dishes from the family of dishes which primarily use flour?";"What are some";" primarily use flour?"
"What is the television show whose producer is Stephen E. Ambrose?";"What is the";" Stephen E. Ambrose?"
"Who is the developer of the software which is produced by Claris ?";"Who is the";" by Claris ?"
"Which administrative region leader is Sukhumbhand Paribatra and was founded by Rama I?";"Which administrative region";" by Rama I?"
"List the fields of the scientists with Sanskrit as one of the interest?";"List the fields";" of the interest?"
"Was Jack Ryan a nominee of US Senate?";"Was Jack Ryan";" of US Senate?"
"For which party's PM did Chidambaram Subramaniam serve?";"For which party's";" Chidambaram Subramaniam serve?"
"UEM group have made bridges crossing over what?";"UEM group have";" crossing over what?"
"Name the office holder whose constituency are Duboce Triangle and Haight-Ashbury ?";"Name the office";" and Haight-Ashbury ?"
"Which awards have been given to scientists that graduated from NKU athens?";"Which awards have";" from NKU athens?"
"Is Pittsburgh Steelers the former team of Marv McFadden?";"Is Pittsburgh Steelers";" of Marv McFadden?"
"Which newspapers are owned by companies which are under Rolv Erik Ryssdal?";"Which newspapers are";" Rolv Erik Ryssdal?"
"What is the order of the Omar D. Conger where Robert Sarvis was also the nominee ?";"What is the";" the nominee ?"
"What genre isPyChess from, which employes Craig Van Tilbury?";"What genre isPyChess";" Craig Van Tilbury?"
"To which party does the politician belong, who was born in Nandurbar?";"To which party";" born in Nandurbar?"
"What are the awards won by the film editor of World of Tomorrow ?";"What are the";" of Tomorrow ?"
"Is Lloyd Nosler the editor of The Temptress?";"Is Lloyd Nosler";" of The Temptress?"
"What are some languages in the italic family of languages?";"What are some";" family of languages?"
"What are the political parties whose leaders have lived in the Prime Minister's House?";"What are the";" Prime Minister's House?"
"What is the television show whose related with Doctor Who Confidential?";"What is the";" Doctor Who Confidential?"
"Which companies were behind the renovation of McKechnie Field ?";"Which companies were";" McKechnie Field ?"
"Collect and return a list of things in the area where Spanish language is used?";"Collect and return";" language is used?"
"What Orson Welles directed movie has photography director as Gregg Toland ?";"What Orson Welles";" Gregg Toland ?"
"Was the Lotuspool Records distributed by Napster?";"Was the Lotuspool";" distributed by Napster?"
"Which military commander fought his battle at Fort Gadsen?";"Which military commander";" at Fort Gadsen?"
"What is the fictional character which belongs to families of Darth Vader and Padm Amidala?";"What is the";" and Padm Amidala?"
"Name the parts of the settlements which has New Braunfels as one of the parts ?";"Name the parts";" the parts ?"
"Which are the predecessors of the cars which are similar to the Oldsmobile 88?";"Which are the";" the Oldsmobile 88?"
"Which religion does the leader of Church and Wellesley follow?";"Which religion does";" and Wellesley follow?"
"Name the university located in Indiana and has affiliations with Kaplan, Inc.?";"Name the university";" with Kaplan, Inc.?"
"Isaac Hayes has acted in which movies ?";"Isaac Hayes has";" which movies ?"
"What is the Ceremonial County of Port of Tilbury ?";"What is the";" of Tilbury ?"
"What is the state of origin of the person who is the successor of Tetsugen Bernard Glassman?";"What is the";" Tetsugen Bernard Glassman?"
"Count all that was built by a company whose leader is Kazuo Hirai?";"Count all that";" is Kazuo Hirai?"
"What ethinicity of Linda Hogan is also the state of origin of Holmes Colbert?";"What ethinicity of";" of Holmes Colbert?"
"Name the mountain located in California and has parent peak as Nevado de Toluca ?";"Name the mountain";" de Toluca ?"
"Which prime ministers were served by the governor who appointed Murray Gleeson?";"Which prime ministers";" appointed Murray Gleeson?"
"How many people have headed organizations headquartered at Niederkirchnerstrae?";"How many people";" headquartered at Niederkirchnerstrae?"
"What is the birth place of the astronaut whose mission was the Vostok programmer?";"What is the";" the Vostok programmer?"
"Where was the designer of REP Parasol born?";"Where was the";" REP Parasol born?"
"List everything written in languages developed by EXperimental Computing Facility?";"List everything written";" EXperimental Computing Facility?"
"In what wars was Steve Buyer involved?";"In what wars";" Steve Buyer involved?"
"For whom did Michael Springer palyed for which also had a former student named Donald Brooks?";"For whom did";" named Donald Brooks?"
"What are some important works of US citizens?";"What are some";" of US citizens?"
"What is the common palce of study for jack McGregor and Philip W. Pillsbury ?";"What is the";" W. Pillsbury ?"
"Over what do Concor holdings have a bridge?";"Over what do";" have a bridge?"
"list all the chairman of Vancouver Whitecaps FC?";"list all the";" Vancouver Whitecaps FC?"
"Peanuts Motion Comics and The Peanuts Movie are the voice of whom?";"Peanuts Motion Comics";" voice of whom?"
"Who were the founders of Sea Gayle Music?";"Who were the";" Sea Gayle Music?"
"Who is the writer of the singles whose producer is Peter-John Vettese?";"Who is the";" is Peter-John Vettese?"
"Which expertise of the Menetries's warbler is the nationality of the Jeyhun Abiyev ?";"Which expertise of";" Jeyhun Abiyev ?"
"Did Jerry Siegel create Lois Lane?";"Did Jerry Siegel";" create Lois Lane?"
"Which allegiance of John Kotelawala is also the sovereign state of Sanath Weerakoon ?";"Which allegiance of";" Sanath Weerakoon ?"
"Which religion followers are in the Royal Thai Army?";"Which religion followers";" Royal Thai Army?"
"Who is the co-founder of the city where Owen Dougherty died?";"Who is the";" Owen Dougherty died?"
"Did Stan Lee create the Iceman comics?";"Did Stan Lee";" the Iceman comics?"
"What are the awards won by the spouse of Liv Ullmann?";"What are the";" of Liv Ullmann?"
"Who is the Artist of the singles whose film genre is Country music ?";"Who is the";" Country music ?"
"What is the nation of the speedway league where Ikaros Smederna played?";"What is the";" Ikaros Smederna played?"
"From how many different institutes have the members of Judge Advocate General's Corps graduated?";"From how many";" General's Corps graduated?"
"Where did the music genre of Harry and the Potters originate?";"Where did the";" the Potters originate?"
"Does Saneh Lungkeaw play for the Thailand's national team?";"Does Saneh Lungkeaw";" Thailand's national team?"
"Which mascot of Celal Bayer university is also the nickname of kore Presbyterian Theological Seminar ?";"Which mascot of";" Theological Seminar ?"
"Which domain's journals did Willard Fiske edit?";"Which domain's journals";" Willard Fiske edit?"
"Was Duanne Allman famous for playing the Gibson SG?";"Was Duanne Allman";" the Gibson SG?"
"In how many different places do Starwood hotels and resorts worldwide operate?";"In how many";" resorts worldwide operate?"
"Does the Ontario International Airport serve the Inland Empire?";"Does the Ontario";" the Inland Empire?"
"Name the university whose teams have been managed by Albertin Montoya?";"Name the university";" by Albertin Montoya?"
"Whose former teams are Indianapolis Colts and Carolina Panthers?";"Whose former teams";" and Carolina Panthers?"
"How many books are written by the author who is famous for Novelas Ejemplares?";"How many books";" for Novelas Ejemplares?"
"How many companies have launched their rockets from the Vandenerg Air base?";"How many companies";" Vandenerg Air base?"
"What is the nationality of the successor of Nii Okaidja Adamafio ?";"What is the";" Okaidja Adamafio ?"
"Which leader of Trump Entertainment Resorts is a relative of Maryanne Barry?";"Which leader of";" of Maryanne Barry?"
"Who all play for the teams performing in the united center?";"Who all play";" the united center?"
"In how many different places were the people born who are members of National Museum of Racing and Hall of Fame?";"In how many";" Hall of Fame?"
"Who was in missions of Gemini 8 and Apollo 11?";"Who was in";" and Apollo 11?"
"List the universities from a country where Norwegian language is officially accepted.";"List the universities";" is officially accepted."
"List the  outflow of Lake Uniamsi?";"List the ";" of Lake Uniamsi?"
"List the resting place of the people who served in Norwalk Trainband.";"List the resting";" in Norwalk Trainband."
"Which software uses windows as it's operating system and is written in C++?";"Which software uses";" written in C++?"
"Name the parent company of Ford Falcon Cobra?";"Name the parent";" Ford Falcon Cobra?"
"Give me some software which run on mac os.";"Give me some";" on mac os."
"To which places do the flights go by airlines headquartered in the UK?";"To which places";" in the UK?"
"List down the common sports played by PATTS College of Aeronautics and Polytechnic University of the Philippines Taguig?";"List down the";" the Philippines Taguig?"
"Name a colonel whose resting place is Montpelier ?";"Name a colonel";" is Montpelier ?"
"In how many countries are people born who play cricket?";"In how many";" who play cricket?"
"Count the number of religions followed by Janta Dal members.";"Count the number";" Janta Dal members."
